AP890102-0139 4:0.4489247311827957 15:0.19086021505376344 1:0.11200716845878136 7:0.10125448028673835 0:0.06182795698924731 3:0.02956989247311828 11:0.01881720430107527 5:0.015232974910394265 6:0.004480286738351254 8:0.004480286738351254 10:0.004480286738351254 12:8.960573476702509E-4 13:8.960573476702509E-4 14:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 18:8.960573476702509E-4 19:8.960573476702509E-4 2:8.960573476702509E-4 9:8.960573476702509E-4
AP890421-0125 12:0.47181372549019607 15:0.15808823529411764 7:0.10416666666666667 9:0.08455882352941177 11:0.05024509803921569 0:0.04534313725490196 17:0.04044117647058824 13:0.020833333333333332 16:0.006127450980392157 2:0.006127450980392157 14:0.0012254901960784314 18:0.0012254901960784314 19:0.0012254901960784314 1:0.0012254901960784314 3:0.0012254901960784314 4:0.0012254901960784314 5:0.0012254901960784314 6:0.0012254901960784314 8:0.0012254901960784314 10:0.0012254901960784314
AP890421-0127 9:0.5159574468085106 11:0.13297872340425532 7:0.11170212765957446 17:0.09042553191489362 8:0.047872340425531915 14:0.026595744680851064 12:0.005319148936170213 13:0.005319148936170213 15:0.005319148936170213 16:0.005319148936170213 18:0.005319148936170213 19:0.005319148936170213 0:0.005319148936170213 1:0.005319148936170213 2:0.005319148936170213 3:0.005319148936170213 4:0.005319148936170213 5:0.005319148936170213 6:0.005319148936170213 10:0.005319148936170213
AP890421-0203 5:0.3153409090909091 18:0.16761363636363635 15:0.15625 17:0.14109848484848486 1:0.08428030303030302 6:0.038825757575757576 2:0.019886363636363636 4:0.019886363636363636 11:0.01231060606060606 13:0.008522727272727272 16:0.008522727272727272 19:0.008522727272727272 8:0.008522727272727272 9:0.004734848484848485 12:9.46969696969697E-4 14:9.46969696969697E-4 0:9.46969696969697E-4 3:9.46969696969697E-4 7:9.46969696969697E-4 10:9.46969696969697E-4
AP890421-0226 5:0.4640957446808511 12:0.20345744680851063 15:0.13962765957446807 11:0.11303191489361702 0:0.03856382978723404 18:0.011968085106382979 13:0.006648936170212766 2:0.006648936170212766 14:0.0013297872340425532 16:0.0013297872340425532 17:0.0013297872340425532 19:0.0013297872340425532 1:0.0013297872340425532 3:0.0013297872340425532 4:0.0013297872340425532 6:0.0013297872340425532 7:0.0013297872340425532 8:0.0013297872340425532 9:0.0013297872340425532 10:0.0013297872340425532
AP890421-0266 18:0.5395833333333333 1:0.15902777777777777 15:0.10625 11:0.09513888888888888 16:0.02847222222222222 9:0.02847222222222222 5:0.02013888888888889 6:0.011805555555555555 0:0.003472222222222222 12:6.944444444444445E-4 13:6.944444444444445E-4 14:6.944444444444445E-4 17:6.944444444444445E-4 19:6.944444444444445E-4 2:6.944444444444445E-4 3:6.944444444444445E-4 4:6.944444444444445E-4 7:6.944444444444445E-4 8:6.944444444444445E-4 10:6.944444444444445E-4
AP890421-0275 5:0.6114864864864865 15:0.13851351351351351 10:0.07094594594594594 11:0.04391891891891892 18:0.04391891891891892 17:0.030405405405405407 8:0.016891891891891893 12:0.0033783783783783786 13:0.0033783783783783786 14:0.0033783783783783786 16:0.0033783783783783786 19:0.0033783783783783786 0:0.0033783783783783786 1:0.0033783783783783786 2:0.0033783783783783786 3:0.0033783783783783786 4:0.0033783783783783786 6:0.0033783783783783786 7:0.0033783783783783786 9:0.0033783783783783786
AP890421-0282 8:0.5509708737864077 5:0.220873786407767 9:0.06229773462783172 15:0.052588996763754045 10:0.03640776699029126 6:0.023462783171521034 17:0.020226537216828478 11:0.007281553398058253 16:0.007281553398058253 1:0.007281553398058253 2:0.0040453074433656954 12:8.090614886731392E-4 13:8.090614886731392E-4 14:8.090614886731392E-4 18:8.090614886731392E-4 19:8.090614886731392E-4 0:8.090614886731392E-4 3:8.090614886731392E-4 4:8.090614886731392E-4 7:8.090614886731392E-4
AP890422-0011 8:0.43007662835249044 17:0.26915708812260536 15:0.09674329501915709 11:0.06226053639846743 10:0.06226053639846743 18:0.039272030651340994 1:0.016283524904214558 2:0.008620689655172414 7:0.004789272030651341 12:9.578544061302681E-4 13:9.578544061302681E-4 14:9.578544061302681E-4 16:9.578544061302681E-4 19:9.578544061302681E-4 0:9.578544061302681E-4 3:9.578544061302681E-4 4:9.578544061302681E-4 5:9.578544061302681E-4 6:9.578544061302681E-4 9:9.578544061302681E-4
AP890423-0027 19:0.3023743016759777 9:0.1738826815642458 1:0.15153631284916202 15:0.10125698324022346 16:0.06773743016759777 6:0.05377094972067039 2:0.037011173184357544 14:0.020251396648044692 4:0.017458100558659217 5:0.017458100558659217 8:0.017458100558659217 12:0.011871508379888268 7:0.011871508379888268 18:0.006284916201117319 0:0.0034916201117318434 3:0.0034916201117318434 11:6.983240223463687E-4 13:6.983240223463687E-4 17:6.983240223463687E-4 10:6.983240223463687E-4
AP890423-0030 13:0.5764388489208633 10:0.16276978417266186 15:0.14118705035971224 1:0.044064748201438846 3:0.018884892086330936 5:0.018884892086330936 7:0.011690647482014389 6:0.008093525179856115 17:0.0044964028776978415 9:0.0044964028776978415 11:8.992805755395684E-4 12:8.992805755395684E-4 14:8.992805755395684E-4 16:8.992805755395684E-4 18:8.992805755395684E-4 19:8.992805755395684E-4 0:8.992805755395684E-4 2:8.992805755395684E-4 4:8.992805755395684E-4 8:8.992805755395684E-4
AP890423-0032 10:0.44416666666666665 15:0.13416666666666666 3:0.09083333333333334 1:0.0875 9:0.07083333333333333 0:0.0375 5:0.0375 14:0.034166666666666665 6:0.030833333333333334 19:0.014166666666666666 8:0.0075 12:0.004166666666666667 11:8.333333333333334E-4 13:8.333333333333334E-4 16:8.333333333333334E-4 17:8.333333333333334E-4 18:8.333333333333334E-4 2:8.333333333333334E-4 4:8.333333333333334E-4 7:8.333333333333334E-4
AP890424-0213 1:0.5256211180124224 15:0.1281055900621118 11:0.1063664596273292 4:0.06599378881987578 18:0.05046583850931677 8:0.03493788819875776 19:0.02251552795031056 0:0.016304347826086956 9:0.016304347826086956 7:0.013198757763975156 5:0.010093167701863354 13:0.0038819875776397515 12:7.763975155279503E-4 14:7.763975155279503E-4 16:7.763975155279503E-4 17:7.763975155279503E-4 2:7.763975155279503E-4 3:7.763975155279503E-4 6:7.763975155279503E-4 10:7.763975155279503E-4
AP890425-0055 10:0.5571748878923767 11:0.1311659192825112 1:0.06838565022421525 9:0.06838565022421525 15:0.04147982062780269 0:0.032511210762331835 2:0.028026905829596414 3:0.023542600896860985 17:0.014573991031390135 16:0.010089686098654708 12:0.005605381165919282 18:0.005605381165919282 4:0.005605381165919282 13:0.0011210762331838565 14:0.0011210762331838565 19:0.0011210762331838565 5:0.0011210762331838565 6:0.0011210762331838565 7:0.0011210762331838565 8:0.0011210762331838565
AP890425-0096 4:0.5906779661016949 15:0.1906779661016949 11:0.07203389830508475 0:0.06525423728813559 1:0.02457627118644068 16:0.0211864406779661 9:0.011016949152542373 12:0.007627118644067797 2:0.00423728813559322 10:0.00423728813559322 13:8.47457627118644E-4 14:8.47457627118644E-4 17:8.47457627118644E-4 18:8.47457627118644E-4 19:8.47457627118644E-4 3:8.47457627118644E-4 5:8.47457627118644E-4 6:8.47457627118644E-4 7:8.47457627118644E-4 8:8.47457627118644E-4
AP890425-0284 5:0.6315028901734104 15:0.157514450867052 11:0.07658959537572255 12:0.06502890173410404 0:0.024566473988439308 18:0.0072254335260115606 3:0.0072254335260115606 6:0.0072254335260115606 7:0.0072254335260115606 13:0.001445086705202312 14:0.001445086705202312 16:0.001445086705202312 17:0.001445086705202312 19:0.001445086705202312 1:0.001445086705202312 2:0.001445086705202312 4:0.001445086705202312 8:0.001445086705202312 9:0.001445086705202312 10:0.001445086705202312
AP890425-0307 12:0.4123134328358209 6:0.24067164179104478 9:0.13619402985074627 15:0.1287313432835821 11:0.016791044776119403 19:0.016791044776119403 10:0.016791044776119403 17:0.009328358208955223 13:0.0018656716417910447 14:0.0018656716417910447 16:0.0018656716417910447 18:0.0018656716417910447 0:0.0018656716417910447 1:0.0018656716417910447 2:0.0018656716417910447 3:0.0018656716417910447 4:0.0018656716417910447 5:0.0018656716417910447 7:0.0018656716417910447 8:0.0018656716417910447
AP890426-0182 19:0.23227611940298507 1:0.20242537313432835 10:0.17630597014925373 4:0.14272388059701493 15:0.13526119402985073 9:0.03824626865671642 3:0.027052238805970148 0:0.012126865671641791 14:0.008395522388059701 2:0.008395522388059701 11:0.0046641791044776115 7:0.0046641791044776115 12:9.328358208955224E-4 13:9.328358208955224E-4 16:9.328358208955224E-4 17:9.328358208955224E-4 18:9.328358208955224E-4 5:9.328358208955224E-4 6:9.328358208955224E-4 8:9.328358208955224E-4
AP890426-0195 8:0.5625 17:0.14268867924528303 15:0.11438679245283019 9:0.07193396226415094 10:0.04834905660377359 18:0.03419811320754717 11:0.00589622641509434 7:0.00589622641509434 12:0.0011792452830188679 13:0.0011792452830188679 14:0.0011792452830188679 16:0.0011792452830188679 19:0.0011792452830188679 0:0.0011792452830188679 1:0.0011792452830188679 2:0.0011792452830188679 3:0.0011792452830188679 4:0.0011792452830188679 5:0.0011792452830188679 6:0.0011792452830188679
AP890426-0240 6:0.24206349206349206 5:0.21031746031746032 14:0.17857142857142858 19:0.0992063492063492 15:0.051587301587301584 3:0.051587301587301584 9:0.051587301587301584 10:0.051587301587301584 17:0.01984126984126984 11:0.003968253968253968 12:0.003968253968253968 13:0.003968253968253968 16:0.003968253968253968 18:0.003968253968253968 0:0.003968253968253968 1:0.003968253968253968 2:0.003968253968253968 4:0.003968253968253968 7:0.003968253968253968 8:0.003968253968253968
AP890426-0242 15:0.30092592592592593 6:0.2638888888888889 8:0.11574074074074074 17:0.0787037037037037 3:0.06018518518518518 11:0.023148148148148147 14:0.023148148148148147 16:0.023148148148148147 1:0.023148148148148147 2:0.023148148148148147 7:0.023148148148148147 12:0.004629629629629629 13:0.004629629629629629 18:0.004629629629629629 19:0.004629629629629629 0:0.004629629629629629 4:0.004629629629629629 5:0.004629629629629629 9:0.004629629629629629 10:0.004629629629629629
AP890427-0160 3:0.23481308411214954 9:0.2207943925233645 1:0.20210280373831777 19:0.1413551401869159 15:0.08995327102803738 10:0.05724299065420561 0:0.015186915887850467 12:0.010514018691588784 14:0.005841121495327103 4:0.005841121495327103 5:0.005841121495327103 11:0.0011682242990654205 13:0.0011682242990654205 16:0.0011682242990654205 17:0.0011682242990654205 18:0.0011682242990654205 2:0.0011682242990654205 6:0.0011682242990654205 7:0.0011682242990654205 8:0.0011682242990654205
AP890427-0174 0:0.5482283464566929 17:0.22145669291338582 15:0.09153543307086615 9:0.09153543307086615 19:0.012795275590551181 8:0.008858267716535433 11:0.004921259842519685 12:0.004921259842519685 14:0.004921259842519685 13:9.84251968503937E-4 16:9.84251968503937E-4 18:9.84251968503937E-4 1:9.84251968503937E-4 2:9.84251968503937E-4 3:9.84251968503937E-4 4:9.84251968503937E-4 5:9.84251968503937E-4 6:9.84251968503937E-4 7:9.84251968503937E-4 10:9.84251968503937E-4
AP890428-0015 7:0.25383141762452105 13:0.20402298850574713 11:0.1925287356321839 15:0.14655172413793102 1:0.1082375478927203 8:0.031609195402298854 19:0.016283524904214558 12:0.008620689655172414 5:0.008620689655172414 16:0.004789272030651341 17:0.004789272030651341 0:0.004789272030651341 2:0.004789272030651341 4:0.004789272030651341 14:9.578544061302681E-4 18:9.578544061302681E-4 3:9.578544061302681E-4 6:9.578544061302681E-4 9:9.578544061302681E-4 10:9.578544061302681E-4
AP890428-0125 3:0.35 2:0.2833333333333333 15:0.12333333333333334 7:0.09666666666666666 1:0.043333333333333335 14:0.03 13:0.016666666666666666 8:0.016666666666666666 11:0.0033333333333333335 12:0.0033333333333333335 16:0.0033333333333333335 17:0.0033333333333333335 18:0.0033333333333333335 19:0.0033333333333333335 0:0.0033333333333333335 4:0.0033333333333333335 5:0.0033333333333333335 6:0.0033333333333333335 9:0.0033333333333333335 10:0.0033333333333333335
AP890428-0213 17:0.6960093896713615 5:0.11854460093896714 1:0.06690140845070422 15:0.03873239436619718 9:0.029342723004694836 19:0.01056338028169014 0:0.01056338028169014 13:0.005868544600938967 7:0.005868544600938967 8:0.005868544600938967 11:0.0011737089201877935 12:0.0011737089201877935 14:0.0011737089201877935 16:0.0011737089201877935 18:0.0011737089201877935 2:0.0011737089201877935 3:0.0011737089201877935 4:0.0011737089201877935 6:0.0011737089201877935 10:0.0011737089201877935
AP890428-0233 8:0.38337988826815644 9:0.1962290502793296 17:0.17667597765363127 15:0.07332402234636871 11:0.06215083798882681 5:0.02863128491620112 6:0.02863128491620112 10:0.020251396648044692 1:0.017458100558659217 12:0.0034916201117318434 16:0.0034916201117318434 13:6.983240223463687E-4 14:6.983240223463687E-4 18:6.983240223463687E-4 19:6.983240223463687E-4 0:6.983240223463687E-4 2:6.983240223463687E-4 3:6.983240223463687E-4 4:6.983240223463687E-4 7:6.983240223463687E-4
AP890428-0262 10:0.525 5:0.10961538461538461 15:0.08653846153846154 11:0.07115384615384615 1:0.07115384615384615 6:0.05576923076923077 13:0.01730769230769231 16:0.01730769230769231 9:0.01730769230769231 2:0.009615384615384616 12:0.0019230769230769232 14:0.0019230769230769232 17:0.0019230769230769232 18:0.0019230769230769232 19:0.0019230769230769232 0:0.0019230769230769232 3:0.0019230769230769232 4:0.0019230769230769232 7:0.0019230769230769232 8:0.0019230769230769232
AP890501-0164 16:0.5313765182186235 15:0.28036437246963564 17:0.057692307692307696 1:0.053643724696356275 11:0.029352226720647773 18:0.013157894736842105 14:0.005060728744939271 0:0.005060728744939271 5:0.005060728744939271 9:0.005060728744939271 10:0.005060728744939271 12:0.0010121457489878543 13:0.0010121457489878543 19:0.0010121457489878543 2:0.0010121457489878543 3:0.0010121457489878543 4:0.0010121457489878543 6:0.0010121457489878543 7:0.0010121457489878543 8:0.0010121457489878543
AP890501-0225 13:0.43176605504587157 15:0.2184633027522936 11:0.11295871559633028 12:0.07855504587155963 1:0.046444954128440366 7:0.02809633027522936 8:0.02809633027522936 9:0.016628440366972478 5:0.012041284403669725 18:0.007454128440366973 0:0.007454128440366973 17:0.005160550458715597 6:0.0028669724770642203 14:5.733944954128441E-4 16:5.733944954128441E-4 19:5.733944954128441E-4 2:5.733944954128441E-4 3:5.733944954128441E-4 4:5.733944954128441E-4 10:5.733944954128441E-4
AP890501-0260 11:0.3946078431372549 5:0.32598039215686275 3:0.08088235294117647 19:0.061274509803921566 15:0.031862745098039214 8:0.031862745098039214 18:0.022058823529411766 14:0.012254901960784314 7:0.012254901960784314 12:0.0024509803921568627 13:0.0024509803921568627 16:0.0024509803921568627 17:0.0024509803921568627 0:0.0024509803921568627 1:0.0024509803921568627 2:0.0024509803921568627 4:0.0024509803921568627 6:0.0024509803921568627 9:0.0024509803921568627 10:0.0024509803921568627
AP890502-0004 19:0.5020775623268698 10:0.13365650969529086 15:0.11703601108033242 1:0.061634349030470915 9:0.061634349030470915 14:0.025623268698060944 6:0.022853185595567867 16:0.02008310249307479 0:0.01731301939058172 5:0.014542936288088643 4:0.011772853185595568 18:0.0034626038781163434 3:0.0034626038781163434 11:6.925207756232687E-4 12:6.925207756232687E-4 13:6.925207756232687E-4 17:6.925207756232687E-4 2:6.925207756232687E-4 7:6.925207756232687E-4 8:6.925207756232687E-4
AP890502-0122 16:0.5462085308056872 15:0.15758293838862558 7:0.058056872037914695 1:0.0485781990521327 12:0.04383886255924171 2:0.034360189573459717 0:0.024881516587677725 8:0.02014218009478673 9:0.02014218009478673 17:0.015402843601895734 18:0.015402843601895734 3:0.005924170616113744 11:0.001184834123222749 13:0.001184834123222749 14:0.001184834123222749 19:0.001184834123222749 4:0.001184834123222749 5:0.001184834123222749 6:0.001184834123222749 10:0.001184834123222749
AP890502-0147 0:0.933076923076923 9:0.019230769230769232 15:0.013076923076923076 1:0.01 12:0.0038461538461538464 5:0.0038461538461538464 7:0.0038461538461538464 8:0.0038461538461538464 11:7.692307692307692E-4 13:7.692307692307692E-4 14:7.692307692307692E-4 16:7.692307692307692E-4 17:7.692307692307692E-4 18:7.692307692307692E-4 19:7.692307692307692E-4 2:7.692307692307692E-4 3:7.692307692307692E-4 4:7.692307692307692E-4 6:7.692307692307692E-4 10:7.692307692307692E-4
AP890502-0236 8:0.544237012987013 9:0.11728896103896104 15:0.0799512987012987 5:0.07183441558441558 1:0.049107142857142856 17:0.04586038961038961 6:0.018262987012987012 7:0.015016233766233766 18:0.013392857142857142 19:0.013392857142857142 0:0.01176948051948052 12:0.006899350649350649 11:0.005275974025974026 14:0.005275974025974026 13:4.0584415584415587E-4 16:4.0584415584415587E-4 2:4.0584415584415587E-4 3:4.0584415584415587E-4 4:4.0584415584415587E-4 10:4.0584415584415587E-4
AP890502-0292 11:0.3355855855855856 17:0.3355855855855856 15:0.09234234234234234 5:0.09234234234234234 1:0.07432432432432433 13:0.02027027027027027 2:0.01126126126126126 3:0.01126126126126126 12:0.0022522522522522522 14:0.0022522522522522522 16:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 0:0.0022522522522522522 4:0.0022522522522522522 6:0.0022522522522522522 7:0.0022522522522522522 8:0.0022522522522522522 9:0.0022522522522522522 10:0.0022522522522522522
AP890502-0309 0:0.9342485549132948 15:0.026734104046242775 1:0.012283236994219654 11:0.0036127167630057803 12:0.0036127167630057803 17:0.0036127167630057803 5:0.0036127167630057803 9:0.0036127167630057803 13:7.22543352601156E-4 14:7.22543352601156E-4 16:7.22543352601156E-4 18:7.22543352601156E-4 19:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 6:7.22543352601156E-4 7:7.22543352601156E-4 8:7.22543352601156E-4 10:7.22543352601156E-4
AP890503-0017 19:0.4141891891891892 6:0.1304054054054054 15:0.11148648648648649 1:0.07635135135135135 5:0.04932432432432433 17:0.04121621621621622 9:0.04121621621621622 14:0.038513513513513516 18:0.030405405405405407 4:0.030405405405405407 16:0.0222972972972973 0:0.0033783783783783786 7:0.0033783783783783786 10:0.0033783783783783786 11:6.756756756756757E-4 12:6.756756756756757E-4 13:6.756756756756757E-4 2:6.756756756756757E-4 3:6.756756756756757E-4 8:6.756756756756757E-4
AP890503-0026 0:0.8945035460992907 15:0.06826241134751773 17:0.007978723404255319 11:0.004432624113475178 12:0.004432624113475178 1:0.004432624113475178 9:0.004432624113475178 13:8.865248226950354E-4 14:8.865248226950354E-4 16:8.865248226950354E-4 18:8.865248226950354E-4 19:8.865248226950354E-4 2:8.865248226950354E-4 3:8.865248226950354E-4 4:8.865248226950354E-4 5:8.865248226950354E-4 6:8.865248226950354E-4 7:8.865248226950354E-4 8:8.865248226950354E-4 10:8.865248226950354E-4
AP890504-0172 8:0.5428176795580111 9:0.21132596685082872 15:0.07320441988950276 11:0.062154696132596686 5:0.034530386740331494 6:0.023480662983425413 1:0.012430939226519336 12:0.006906077348066298 17:0.006906077348066298 18:0.006906077348066298 0:0.006906077348066298 13:0.0013812154696132596 14:0.0013812154696132596 16:0.0013812154696132596 19:0.0013812154696132596 2:0.0013812154696132596 3:0.0013812154696132596 4:0.0013812154696132596 7:0.0013812154696132596 10:0.0013812154696132596
AP890504-0194 0:0.5343959731543624 9:0.20889261744966442 15:0.10486577181208054 4:0.03104026845637584 12:0.024328859060402684 17:0.024328859060402684 1:0.01761744966442953 19:0.014261744966442953 2:0.010906040268456376 10:0.010906040268456376 6:0.007550335570469799 5:0.0041946308724832215 11:8.389261744966443E-4 13:8.389261744966443E-4 14:8.389261744966443E-4 16:8.389261744966443E-4 18:8.389261744966443E-4 3:8.389261744966443E-4 7:8.389261744966443E-4 8:8.389261744966443E-4
AP890505-0015 1:0.3144599303135889 10:0.2656794425087108 3:0.22386759581881532 12:0.05662020905923345 9:0.03571428571428571 19:0.028745644599303136 8:0.028745644599303136 17:0.014808362369337979 18:0.0078397212543554 0:0.004355400696864111 2:0.004355400696864111 4:0.004355400696864111 7:0.004355400696864111 11:8.710801393728223E-4 13:8.710801393728223E-4 14:8.710801393728223E-4 15:8.710801393728223E-4 16:8.710801393728223E-4 5:8.710801393728223E-4 6:8.710801393728223E-4
AP890505-0199 7:0.49805699481865284 1:0.1405440414507772 15:0.09132124352331607 12:0.08095854922279792 13:0.05764248704663212 11:0.02655440414507772 3:0.021373056994818652 4:0.01878238341968912 14:0.016191709844559584 5:0.013601036269430052 19:0.008419689119170985 6:0.008419689119170985 9:0.005829015544041451 18:0.003238341968911917 0:0.003238341968911917 2:0.003238341968911917 16:6.476683937823834E-4 17:6.476683937823834E-4 8:6.476683937823834E-4 10:6.476683937823834E-4
AP890505-0220 13:0.3425 3:0.1625 9:0.1425 1:0.0725 10:0.0625 7:0.0525 2:0.0425 12:0.0325 15:0.0225 5:0.0225 0:0.0125 8:0.0125 11:0.0025 14:0.0025 16:0.0025 17:0.0025 18:0.0025 19:0.0025 4:0.0025 6:0.0025
AP890506-0010 12:0.4970703125 15:0.2822265625 6:0.0830078125 5:0.0361328125 9:0.0322265625 1:0.0205078125 2:0.0166015625 17:0.0126953125 13:0.0087890625 11:9.765625E-4 14:9.765625E-4 16:9.765625E-4 18:9.765625E-4 19:9.765625E-4 0:9.765625E-4 3:9.765625E-4 4:9.765625E-4 7:9.765625E-4 8:9.765625E-4 10:9.765625E-4
AP890506-0074 13:0.34274193548387094 3:0.13306451612903225 5:0.13306451612903225 7:0.10080645161290322 16:0.0846774193548387 12:0.06854838709677419 14:0.05241935483870968 11:0.036290322580645164 15:0.004032258064516129 17:0.004032258064516129 18:0.004032258064516129 19:0.004032258064516129 0:0.004032258064516129 1:0.004032258064516129 2:0.004032258064516129 4:0.004032258064516129 6:0.004032258064516129 8:0.004032258064516129 9:0.004032258064516129 10:0.004032258064516129
AP890508-0013 8:0.49022633744855965 11:0.1507201646090535 15:0.08487654320987655 9:0.07458847736625514 0:0.05606995884773663 1:0.05401234567901234 7:0.023148148148148147 2:0.02109053497942387 12:0.016975308641975308 4:0.010802469135802469 14:0.006687242798353909 17:0.00257201646090535 18:0.00257201646090535 6:0.00257201646090535 13:5.1440329218107E-4 16:5.1440329218107E-4 19:5.1440329218107E-4 3:5.1440329218107E-4 5:5.1440329218107E-4 10:5.1440329218107E-4
AP890509-0125 12:0.48875432525951557 15:0.23615916955017302 1:0.07352941176470588 9:0.052768166089965395 6:0.045847750865051905 5:0.03200692041522491 13:0.025086505190311418 14:0.007785467128027681 18:0.007785467128027681 2:0.007785467128027681 4:0.007785467128027681 19:0.004325259515570935 10:0.004325259515570935 11:8.650519031141869E-4 16:8.650519031141869E-4 17:8.650519031141869E-4 0:8.650519031141869E-4 3:8.650519031141869E-4 7:8.650519031141869E-4 8:8.650519031141869E-4
AP890509-0174 14:0.26145038167938933 10:0.17748091603053434 1:0.10114503816793893 5:0.10114503816793893 4:0.07824427480916031 15:0.07061068702290077 18:0.04770992366412214 3:0.04770992366412214 7:0.04007633587786259 17:0.02480916030534351 9:0.02480916030534351 6:0.009541984732824428 11:0.0019083969465648854 12:0.0019083969465648854 13:0.0019083969465648854 16:0.0019083969465648854 19:0.0019083969465648854 0:0.0019083969465648854 2:0.0019083969465648854 8:0.0019083969465648854
AP890510-0027 4:0.552801724137931 1:0.13900862068965517 15:0.13469827586206898 3:0.09590517241379311 14:0.03556034482758621 7:0.018318965517241378 8:0.009698275862068966 11:0.0010775862068965517 12:0.0010775862068965517 13:0.0010775862068965517 16:0.0010775862068965517 17:0.0010775862068965517 18:0.0010775862068965517 19:0.0010775862068965517 0:0.0010775862068965517 2:0.0010775862068965517 5:0.0010775862068965517 6:0.0010775862068965517 9:0.0010775862068965517 10:0.0010775862068965517
AP890510-0029 4:0.44060283687943264 1:0.149822695035461 3:0.14627659574468085 15:0.11436170212765957 14:0.03280141843971631 7:0.03280141843971631 17:0.022163120567375887 6:0.022163120567375887 2:0.018617021276595744 13:0.004432624113475178 19:0.004432624113475178 0:0.004432624113475178 11:8.865248226950354E-4 12:8.865248226950354E-4 16:8.865248226950354E-4 18:8.865248226950354E-4 5:8.865248226950354E-4 8:8.865248226950354E-4 9:8.865248226950354E-4 10:8.865248226950354E-4
AP890510-0074 2:0.7692901234567902 10:0.0933641975308642 1:0.05941358024691358 19:0.03780864197530864 7:0.013117283950617283 12:0.006944444444444444 0:0.0038580246913580245 6:0.0038580246913580245 9:0.0038580246913580245 11:7.716049382716049E-4 13:7.716049382716049E-4 14:7.716049382716049E-4 15:7.716049382716049E-4 16:7.716049382716049E-4 17:7.716049382716049E-4 18:7.716049382716049E-4 3:7.716049382716049E-4 4:7.716049382716049E-4 5:7.716049382716049E-4 8:7.716049382716049E-4
AP890510-0094 19:0.7703125 15:0.1015625 1:0.0515625 3:0.0453125 10:0.0078125 11:0.0015625 12:0.0015625 13:0.0015625 14:0.0015625 16:0.0015625 17:0.0015625 18:0.0015625 0:0.0015625 2:0.0015625 4:0.0015625 5:0.0015625 6:0.0015625 7:0.0015625 8:0.0015625 9:0.0015625
AP890510-0095 19:0.7640625 15:0.1140625 1:0.0453125 3:0.0390625 2:0.0078125 10:0.0078125 11:0.0015625 12:0.0015625 13:0.0015625 14:0.0015625 16:0.0015625 17:0.0015625 18:0.0015625 0:0.0015625 4:0.0015625 5:0.0015625 6:0.0015625 7:0.0015625 8:0.0015625 9:0.0015625
AP890510-0128 2:0.78125 10:0.1013719512195122 9:0.037347560975609755 3:0.03429878048780488 6:0.012957317073170731 1:0.009908536585365854 13:0.006859756097560976 19:0.006859756097560976 11:7.621951219512195E-4 12:7.621951219512195E-4 14:7.621951219512195E-4 15:7.621951219512195E-4 16:7.621951219512195E-4 17:7.621951219512195E-4 18:7.621951219512195E-4 0:7.621951219512195E-4 4:7.621951219512195E-4 5:7.621951219512195E-4 7:7.621951219512195E-4 8:7.621951219512195E-4
AP890510-0180 19:0.4991289198606272 3:0.08449477351916376 9:0.08449477351916376 15:0.06358885017421603 1:0.04965156794425087 5:0.039198606271777 7:0.039198606271777 18:0.032229965156794424 0:0.025261324041811847 2:0.018292682926829267 13:0.014808362369337979 4:0.014808362369337979 10:0.014808362369337979 16:0.0078397212543554 17:0.0078397212543554 11:8.710801393728223E-4 12:8.710801393728223E-4 14:8.710801393728223E-4 6:8.710801393728223E-4 8:8.710801393728223E-4
AP890511-0136 7:0.4272598870056497 1:0.17019774011299435 15:0.10522598870056497 11:0.0769774011299435 13:0.06285310734463277 2:0.0346045197740113 12:0.026129943502824857 4:0.020480225988700564 9:0.020480225988700564 0:0.014830508474576272 17:0.012005649717514125 3:0.012005649717514125 10:0.006355932203389831 19:0.0035310734463276836 5:0.0035310734463276836 14:7.062146892655367E-4 16:7.062146892655367E-4 18:7.062146892655367E-4 6:7.062146892655367E-4 8:7.062146892655367E-4
AP890511-0272 5:0.6154390934844193 15:0.06869688385269122 9:0.04320113314447592 11:0.037535410764872525 1:0.037535410764872525 18:0.034702549575070823 0:0.03186968838526912 14:0.02903682719546742 17:0.02903682719546742 8:0.017705382436260624 10:0.014872521246458924 7:0.012039660056657223 12:0.009206798866855524 6:0.009206798866855524 4:0.006373937677053824 13:7.08215297450425E-4 16:7.08215297450425E-4 19:7.08215297450425E-4 2:7.08215297450425E-4 3:7.08215297450425E-4
AP890512-0154 11:0.2625 15:0.2225 16:0.1325 10:0.1125 7:0.0825 6:0.0625 18:0.0425 17:0.0325 12:0.0125 9:0.0125 13:0.0025 14:0.0025 19:0.0025 0:0.0025 1:0.0025 2:0.0025 3:0.0025 4:0.0025 5:0.0025 8:0.0025
