AP890101-0002 8:0.3691646191646192 1:0.20945945945945946 5:0.12837837837837837 16:0.09643734643734644 13:0.0472972972972973 0:0.04484029484029484 2:0.030098280098280097 3:0.025184275184275184 17:0.02027027027027027 7:0.015356265356265357 19:0.005528255528255528 15:0.003071253071253071 11:6.142506142506142E-4 12:6.142506142506142E-4 14:6.142506142506142E-4 18:6.142506142506142E-4 4:6.142506142506142E-4 6:6.142506142506142E-4 9:6.142506142506142E-4 10:6.142506142506142E-4
AP890209-0250 17:0.5208333333333334 8:0.2708333333333333 3:0.0875 1:0.020833333333333332 4:0.020833333333333332 5:0.020833333333333332 11:0.004166666666666667 12:0.004166666666666667 13:0.004166666666666667 14:0.004166666666666667 15:0.004166666666666667 16:0.004166666666666667 18:0.004166666666666667 19:0.004166666666666667 0:0.004166666666666667 2:0.004166666666666667 6:0.004166666666666667 7:0.004166666666666667 9:0.004166666666666667 10:0.004166666666666667
AP890210-0033 14:0.28560830860534125 19:0.14020771513353117 16:0.11943620178041543 3:0.11646884272997032 11:0.11350148367952523 18:0.10756676557863501 4:0.030415430267062313 10:0.02744807121661721 12:0.021513353115727003 9:0.015578635014836795 17:0.012611275964391691 1:0.00370919881305638 13:7.41839762611276E-4 15:7.41839762611276E-4 0:7.41839762611276E-4 2:7.41839762611276E-4 5:7.41839762611276E-4 6:7.41839762611276E-4 7:7.41839762611276E-4 8:7.41839762611276E-4
AP890211-0010 5:0.4005681818181818 16:0.23011363636363635 1:0.1278409090909091 0:0.05965909090909091 8:0.048295454545454544 3:0.036931818181818184 13:0.02556818181818182 17:0.014204545454545454 2:0.014204545454545454 9:0.014204545454545454 11:0.002840909090909091 12:0.002840909090909091 14:0.002840909090909091 15:0.002840909090909091 18:0.002840909090909091 19:0.002840909090909091 4:0.002840909090909091 6:0.002840909090909091 7:0.002840909090909091 10:0.002840909090909091
AP890212-0033 3:0.4479166666666667 18:0.1865530303030303 8:0.13352272727272727 13:0.04261363636363636 4:0.035037878787878785 19:0.03125 6:0.03125 1:0.023674242424242424 0:0.016098484848484848 7:0.016098484848484848 5:0.01231060606060606 14:0.004734848484848485 16:0.004734848484848485 2:0.004734848484848485 9:0.004734848484848485 11:9.46969696969697E-4 12:9.46969696969697E-4 15:9.46969696969697E-4 17:9.46969696969697E-4 10:9.46969696969697E-4
AP890212-0045 15:0.461864406779661 2:0.19406779661016949 12:0.1805084745762712 16:0.051694915254237285 18:0.044915254237288135 3:0.017796610169491526 10:0.017796610169491526 4:0.011016949152542373 13:0.00423728813559322 6:0.00423728813559322 8:0.00423728813559322 11:8.47457627118644E-4 14:8.47457627118644E-4 17:8.47457627118644E-4 19:8.47457627118644E-4 0:8.47457627118644E-4 1:8.47457627118644E-4 5:8.47457627118644E-4 7:8.47457627118644E-4 9:8.47457627118644E-4
AP890213-0051 7:0.35795454545454547 14:0.19886363636363635 13:0.0928030303030303 8:0.08522727272727272 3:0.0625 6:0.054924242424242424 17:0.032196969696969696 15:0.02462121212121212 16:0.02462121212121212 19:0.02462121212121212 12:0.017045454545454544 4:0.00946969696969697 11:0.001893939393939394 18:0.001893939393939394 0:0.001893939393939394 1:0.001893939393939394 2:0.001893939393939394 5:0.001893939393939394 9:0.001893939393939394 10:0.001893939393939394
AP890213-0126 14:0.3481132075471698 11:0.15188679245283018 3:0.13679245283018868 2:0.08018867924528301 6:0.07264150943396226 12:0.05 4:0.05 18:0.038679245283018866 19:0.027358490566037737 7:0.016037735849056604 8:0.012264150943396227 15:0.0047169811320754715 17:0.0047169811320754715 13:9.433962264150943E-4 16:9.433962264150943E-4 0:9.433962264150943E-4 1:9.433962264150943E-4 5:9.433962264150943E-4 9:9.433962264150943E-4 10:9.433962264150943E-4
AP890213-0219 1:0.28716216216216217 9:0.26013513513513514 8:0.16554054054054054 3:0.08445945945945946 16:0.07094594594594594 12:0.030405405405405407 11:0.016891891891891893 17:0.016891891891891893 18:0.016891891891891893 19:0.016891891891891893 13:0.0033783783783783786 14:0.0033783783783783786 15:0.0033783783783783786 0:0.0033783783783783786 2:0.0033783783783783786 4:0.0033783783783783786 5:0.0033783783783783786 6:0.0033783783783783786 7:0.0033783783783783786 10:0.0033783783783783786
AP890214-0116 4:0.45935960591133007 12:0.3460591133004926 3:0.08497536945812807 16:0.0603448275862069 14:0.011083743842364532 17:0.006157635467980296 1:0.006157635467980296 6:0.006157635467980296 9:0.006157635467980296 11:0.0012315270935960591 13:0.0012315270935960591 15:0.0012315270935960591 18:0.0012315270935960591 19:0.0012315270935960591 0:0.0012315270935960591 2:0.0012315270935960591 5:0.0012315270935960591 7:0.0012315270935960591 8:0.0012315270935960591 10:0.0012315270935960591
AP890214-0121 15:0.4665991902834008 18:0.14271255060728744 12:0.12246963562753037 3:0.0860323886639676 8:0.057692307692307696 11:0.04149797570850203 14:0.029352226720647773 17:0.01720647773279352 5:0.009109311740890687 10:0.009109311740890687 7:0.005060728744939271 9:0.005060728744939271 13:0.0010121457489878543 16:0.0010121457489878543 19:0.0010121457489878543 0:0.0010121457489878543 1:0.0010121457489878543 2:0.0010121457489878543 4:0.0010121457489878543 6:0.0010121457489878543
AP890214-0197 17:0.49069148936170215 8:0.13430851063829788 3:0.1077127659574468 11:0.07047872340425532 14:0.05452127659574468 18:0.03856382978723404 16:0.03324468085106383 6:0.027925531914893616 7:0.011968085106382979 9:0.011968085106382979 19:0.006648936170212766 12:0.0013297872340425532 13:0.0013297872340425532 15:0.0013297872340425532 0:0.0013297872340425532 1:0.0013297872340425532 2:0.0013297872340425532 4:0.0013297872340425532 5:0.0013297872340425532 10:0.0013297872340425532
AP890214-0224 17:0.49857142857142855 8:0.1442857142857143 11:0.09285714285714286 14:0.09285714285714286 3:0.07571428571428572 18:0.03571428571428571 9:0.024285714285714285 19:0.007142857142857143 1:0.007142857142857143 7:0.007142857142857143 12:0.0014285714285714286 13:0.0014285714285714286 15:0.0014285714285714286 16:0.0014285714285714286 0:0.0014285714285714286 2:0.0014285714285714286 4:0.0014285714285714286 5:0.0014285714285714286 6:0.0014285714285714286 10:0.0014285714285714286
AP890214-0231 9:0.5389447236180904 8:0.2675879396984925 16:0.09673366834170855 3:0.0414572864321608 1:0.031407035175879394 19:0.00628140703517588 11:0.001256281407035176 12:0.001256281407035176 13:0.001256281407035176 14:0.001256281407035176 15:0.001256281407035176 17:0.001256281407035176 18:0.001256281407035176 0:0.001256281407035176 2:0.001256281407035176 4:0.001256281407035176 5:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 10:0.001256281407035176
AP890214-0240 8:0.5289473684210526 9:0.2026315789473684 16:0.10789473684210527 17:0.06578947368421052 15:0.034210526315789476 14:0.013157894736842105 3:0.013157894736842105 11:0.002631578947368421 12:0.002631578947368421 13:0.002631578947368421 18:0.002631578947368421 19:0.002631578947368421 0:0.002631578947368421 1:0.002631578947368421 2:0.002631578947368421 4:0.002631578947368421 5:0.002631578947368421 6:0.002631578947368421 7:0.002631578947368421 10:0.002631578947368421
AP890215-0076 13:0.34358288770053474 11:0.20989304812834225 8:0.17245989304812834 7:0.06550802139037433 1:0.05481283422459893 14:0.04411764705882353 10:0.04411764705882353 18:0.022727272727272728 2:0.022727272727272728 5:0.0066844919786096255 12:0.001336898395721925 15:0.001336898395721925 16:0.001336898395721925 17:0.001336898395721925 19:0.001336898395721925 0:0.001336898395721925 3:0.001336898395721925 4:0.001336898395721925 6:0.001336898395721925 9:0.001336898395721925
AP890215-0117 9:0.6391050583657587 8:0.18385214007782102 16:0.05933852140077821 3:0.05155642023346303 11:0.020428015564202335 5:0.01264591439688716 0:0.008754863813229572 1:0.008754863813229572 4:0.0048638132295719845 12:9.727626459143969E-4 13:9.727626459143969E-4 14:9.727626459143969E-4 15:9.727626459143969E-4 17:9.727626459143969E-4 18:9.727626459143969E-4 19:9.727626459143969E-4 2:9.727626459143969E-4 6:9.727626459143969E-4 7:9.727626459143969E-4 10:9.727626459143969E-4
AP890215-0220 11:0.2554347826086957 14:0.17158385093167702 17:0.1529503105590062 15:0.10015527950310558 4:0.06909937888198758 16:0.06599378881987578 3:0.02872670807453416 13:0.02562111801242236 0:0.02251552795031056 5:0.02251552795031056 8:0.02251552795031056 2:0.016304347826086956 7:0.016304347826086956 12:0.010093167701863354 6:0.010093167701863354 9:0.006987577639751553 18:7.763975155279503E-4 19:7.763975155279503E-4 1:7.763975155279503E-4 10:7.763975155279503E-4
AP890216-0016 8:0.286231884057971 3:0.2717391304347826 14:0.20893719806763286 17:0.1316425120772947 4:0.020531400966183576 11:0.01570048309178744 13:0.01570048309178744 12:0.010869565217391304 19:0.010869565217391304 6:0.006038647342995169 9:0.006038647342995169 10:0.006038647342995169 15:0.0012077294685990338 16:0.0012077294685990338 18:0.0012077294685990338 0:0.0012077294685990338 1:0.0012077294685990338 2:0.0012077294685990338 5:0.0012077294685990338 7:0.0012077294685990338
AP890216-0066 13:0.17908653846153846 14:0.16466346153846154 8:0.15504807692307693 5:0.08774038461538461 16:0.078125 3:0.078125 4:0.06850961538461539 11:0.054086538461538464 6:0.04927884615384615 18:0.020432692307692308 19:0.020432692307692308 7:0.015625 9:0.010817307692307692 15:0.006009615384615385 1:0.006009615384615385 12:0.001201923076923077 17:0.001201923076923077 0:0.001201923076923077 2:0.001201923076923077 10:0.001201923076923077
AP890216-0154 12:0.575 3:0.15648148148148147 7:0.14907407407407408 16:0.041666666666666664 4:0.023148148148148147 2:0.01574074074074074 1:0.012037037037037037 10:0.012037037037037037 15:0.004629629629629629 11:9.25925925925926E-4 13:9.25925925925926E-4 14:9.25925925925926E-4 17:9.25925925925926E-4 18:9.25925925925926E-4 19:9.25925925925926E-4 0:9.25925925925926E-4 5:9.25925925925926E-4 6:9.25925925925926E-4 8:9.25925925925926E-4 9:9.25925925925926E-4
AP890216-0235 17:0.4020432692307692 3:0.0967548076923077 4:0.09194711538461539 14:0.08233173076923077 9:0.08233173076923077 8:0.048677884615384616 16:0.046274038461538464 11:0.0390625 19:0.029447115384615384 15:0.022235576923076924 12:0.019831730769230768 1:0.015024038461538462 0:0.010216346153846154 18:0.005408653846153846 5:0.0030048076923076925 10:0.0030048076923076925 13:6.009615384615385E-4 2:6.009615384615385E-4 6:6.009615384615385E-4 7:6.009615384615385E-4
AP890216-0260 8:0.5491452991452992 17:0.15598290598290598 16:0.12179487179487179 3:0.0876068376068376 19:0.019230769230769232 11:0.010683760683760684 1:0.010683760683760684 6:0.010683760683760684 10:0.010683760683760684 12:0.002136752136752137 13:0.002136752136752137 14:0.002136752136752137 15:0.002136752136752137 18:0.002136752136752137 0:0.002136752136752137 2:0.002136752136752137 4:0.002136752136752137 5:0.002136752136752137 7:0.002136752136752137 9:0.002136752136752137
AP890217-0059 7:0.45211038961038963 15:0.1891233766233766 3:0.12094155844155845 18:0.08847402597402597 8:0.04301948051948052 13:0.026785714285714284 16:0.026785714285714284 12:0.010551948051948052 17:0.010551948051948052 2:0.007305194805194805 6:0.007305194805194805 4:0.004058441558441558 9:0.004058441558441558 10:0.004058441558441558 11:8.116883116883117E-4 14:8.116883116883117E-4 19:8.116883116883117E-4 0:8.116883116883117E-4 1:8.116883116883117E-4 5:8.116883116883117E-4
AP890217-0100 18:0.2800632911392405 2:0.1661392405063291 13:0.14082278481012658 3:0.1281645569620253 16:0.10284810126582279 5:0.07120253164556962 6:0.02689873417721519 11:0.020569620253164556 8:0.014240506329113924 14:0.007911392405063292 0:0.007911392405063292 7:0.007911392405063292 9:0.007911392405063292 10:0.007911392405063292 12:0.0015822784810126582 15:0.0015822784810126582 17:0.0015822784810126582 19:0.0015822784810126582 1:0.0015822784810126582 4:0.0015822784810126582
AP890218-0073 7:0.45897832817337464 15:0.14009287925696595 3:0.10603715170278638 16:0.08746130030959752 8:0.06578947368421052 6:0.03173374613003096 5:0.025541795665634675 18:0.02244582043343653 9:0.02244582043343653 13:0.016253869969040248 0:0.00696594427244582 1:0.003869969040247678 4:0.003869969040247678 10:0.003869969040247678 11:7.739938080495357E-4 12:7.739938080495357E-4 14:7.739938080495357E-4 17:7.739938080495357E-4 19:7.739938080495357E-4 2:7.739938080495357E-4
AP890219-0017 6:0.3904320987654321 4:0.14351851851851852 3:0.13734567901234568 16:0.13117283950617284 18:0.07561728395061729 1:0.038580246913580245 12:0.026234567901234566 13:0.013888888888888888 15:0.007716049382716049 0:0.007716049382716049 8:0.007716049382716049 9:0.007716049382716049 11:0.0015432098765432098 14:0.0015432098765432098 17:0.0015432098765432098 19:0.0015432098765432098 2:0.0015432098765432098 5:0.0015432098765432098 7:0.0015432098765432098 10:0.0015432098765432098
AP890219-0035 4:0.43702290076335876 2:0.20038167938931298 16:0.17748091603053434 3:0.07824427480916031 18:0.02480916030534351 1:0.02480916030534351 15:0.01717557251908397 5:0.01717557251908397 11:0.0019083969465648854 12:0.0019083969465648854 13:0.0019083969465648854 14:0.0019083969465648854 17:0.0019083969465648854 19:0.0019083969465648854 0:0.0019083969465648854 6:0.0019083969465648854 7:0.0019083969465648854 8:0.0019083969465648854 9:0.0019083969465648854 10:0.0019083969465648854
AP890219-0059 18:0.3467741935483871 4:0.24539170506912442 16:0.16244239631336405 17:0.06566820276497695 14:0.04723502304147465 19:0.04262672811059908 10:0.03341013824884793 3:0.024193548387096774 2:0.014976958525345621 13:0.00576036866359447 11:0.001152073732718894 12:0.001152073732718894 15:0.001152073732718894 0:0.001152073732718894 1:0.001152073732718894 5:0.001152073732718894 6:0.001152073732718894 7:0.001152073732718894 8:0.001152073732718894 9:0.001152073732718894
AP890221-0063 8:0.22348484848484848 2:0.20833333333333334 3:0.1527777777777778 13:0.13762626262626262 16:0.11237373737373738 5:0.07702020202020202 1:0.026515151515151516 6:0.016414141414141416 19:0.011363636363636364 9:0.011363636363636364 0:0.006313131313131313 4:0.006313131313131313 11:0.0012626262626262627 12:0.0012626262626262627 14:0.0012626262626262627 15:0.0012626262626262627 17:0.0012626262626262627 18:0.0012626262626262627 7:0.0012626262626262627 10:0.0012626262626262627
AP890221-0103 16:0.4945414847161572 12:0.1539301310043668 3:0.1539301310043668 7:0.07969432314410481 15:0.04912663755458515 19:0.027292576419213975 2:0.014192139737991267 14:0.0054585152838427945 1:0.0054585152838427945 4:0.0054585152838427945 11:0.001091703056768559 13:0.001091703056768559 17:0.001091703056768559 18:0.001091703056768559 0:0.001091703056768559 5:0.001091703056768559 6:0.001091703056768559 8:0.001091703056768559 9:0.001091703056768559 10:0.001091703056768559
AP890221-0111 16:0.26024590163934425 12:0.23292349726775957 19:0.19467213114754098 3:0.09631147540983606 7:0.0935792349726776 2:0.041666666666666664 10:0.028005464480874317 15:0.008879781420765027 0:0.008879781420765027 8:0.008879781420765027 18:0.006147540983606557 1:0.006147540983606557 9:0.006147540983606557 14:0.0034153005464480873 11:6.830601092896175E-4 13:6.830601092896175E-4 17:6.830601092896175E-4 4:6.830601092896175E-4 5:6.830601092896175E-4 6:6.830601092896175E-4
AP890221-0142 12:0.2443467336683417 16:0.22675879396984924 3:0.1865577889447236 19:0.15891959798994976 7:0.09108040201005026 2:0.028266331658291458 15:0.023241206030150754 10:0.0207286432160804 1:0.008165829145728644 8:0.005653266331658292 11:6.28140703517588E-4 13:6.28140703517588E-4 14:6.28140703517588E-4 17:6.28140703517588E-4 18:6.28140703517588E-4 0:6.28140703517588E-4 4:6.28140703517588E-4 5:6.28140703517588E-4 6:6.28140703517588E-4 9:6.28140703517588E-4
AP890221-0147 10:0.37727272727272726 18:0.17727272727272728 3:0.14696969696969697 16:0.11060606060606061 7:0.05 11:0.04393939393939394 0:0.031818181818181815 13:0.025757575757575757 5:0.013636363636363636 4:0.007575757575757576 12:0.0015151515151515152 14:0.0015151515151515152 15:0.0015151515151515152 17:0.0015151515151515152 19:0.0015151515151515152 1:0.0015151515151515152 2:0.0015151515151515152 6:0.0015151515151515152 8:0.0015151515151515152 9:0.0015151515151515152
AP890221-0170 8:0.225 16:0.14391891891891892 2:0.1331081081081081 3:0.1304054054054054 13:0.11148648648648649 5:0.09527027027027027 1:0.03310810810810811 18:0.027702702702702704 10:0.025 0:0.019594594594594596 17:0.011486486486486487 4:0.011486486486486487 19:0.008783783783783784 6:0.008783783783783784 12:0.006081081081081081 11:0.0033783783783783786 14:0.0033783783783783786 15:6.756756756756757E-4 7:6.756756756756757E-4 9:6.756756756756757E-4
AP890221-0276 17:0.5523952095808383 8:0.1631736526946108 9:0.10329341317365269 3:0.04940119760479042 4:0.04341317365269461 16:0.03143712574850299 13:0.01347305389221557 5:0.01347305389221557 12:0.0074850299401197605 14:0.0074850299401197605 11:0.0014970059880239522 15:0.0014970059880239522 18:0.0014970059880239522 19:0.0014970059880239522 0:0.0014970059880239522 1:0.0014970059880239522 2:0.0014970059880239522 6:0.0014970059880239522 7:0.0014970059880239522 10:0.0014970059880239522
AP890221-0306 8:0.5024038461538461 9:0.3581730769230769 6:0.03125 1:0.021634615384615384 5:0.021634615384615384 10:0.021634615384615384 16:0.01201923076923077 11:0.002403846153846154 12:0.002403846153846154 13:0.002403846153846154 14:0.002403846153846154 15:0.002403846153846154 17:0.002403846153846154 18:0.002403846153846154 19:0.002403846153846154 0:0.002403846153846154 2:0.002403846153846154 3:0.002403846153846154 4:0.002403846153846154 7:0.002403846153846154
AP890222-0008 15:0.26953125 4:0.25390625 12:0.17578125 3:0.17578125 7:0.03515625 14:0.01953125 10:0.01953125 11:0.00390625 13:0.00390625 16:0.00390625 17:0.00390625 18:0.00390625 19:0.00390625 0:0.00390625 1:0.00390625 2:0.00390625 5:0.00390625 6:0.00390625 8:0.00390625 9:0.00390625
AP890222-0065 1:0.5903465346534653 11:0.07054455445544554 3:0.0655940594059406 7:0.06064356435643564 14:0.055693069306930694 9:0.050742574257425746 13:0.04579207920792079 17:0.01608910891089109 16:0.011138613861386138 0:0.006188118811881188 5:0.006188118811881188 8:0.006188118811881188 10:0.006188118811881188 12:0.0012376237623762376 15:0.0012376237623762376 18:0.0012376237623762376 19:0.0012376237623762376 2:0.0012376237623762376 4:0.0012376237623762376 6:0.0012376237623762376
AP890222-0115 14:0.20346062052505967 5:0.16288782816229117 10:0.16288782816229117 3:0.15572792362768498 11:0.07696897374701671 16:0.07219570405727924 4:0.06980906921241051 19:0.04355608591885442 18:0.024463007159904536 17:0.0053699284009546535 1:0.0053699284009546535 7:0.0053699284009546535 13:0.0029832935560859188 2:0.0029832935560859188 6:0.0029832935560859188 12:5.966587112171838E-4 15:5.966587112171838E-4 0:5.966587112171838E-4 8:5.966587112171838E-4 9:5.966587112171838E-4
AP890222-0195 14:0.1773356401384083 3:0.1773356401384083 10:0.12889273356401384 4:0.12197231833910034 5:0.10813148788927336 16:0.10121107266435986 11:0.07698961937716263 19:0.04930795847750865 13:0.018166089965397925 18:0.01124567474048443 12:0.007785467128027681 2:0.007785467128027681 17:0.004325259515570935 8:0.004325259515570935 15:8.650519031141869E-4 0:8.650519031141869E-4 1:8.650519031141869E-4 6:8.650519031141869E-4 7:8.650519031141869E-4 9:8.650519031141869E-4
AP890222-0203 19:0.24492385786802032 16:0.18401015228426396 3:0.17385786802030456 4:0.16878172588832488 2:0.1484771573604061 15:0.031725888324873094 0:0.011421319796954314 11:0.006345177664974619 12:0.006345177664974619 7:0.006345177664974619 10:0.006345177664974619 13:0.0012690355329949238 14:0.0012690355329949238 17:0.0012690355329949238 18:0.0012690355329949238 1:0.0012690355329949238 5:0.0012690355329949238 6:0.0012690355329949238 8:0.0012690355329949238 9:0.0012690355329949238
AP890222-0257 1:0.6257961783439491 3:0.12261146496815287 11:0.07802547770700637 13:0.07165605095541401 14:0.03343949044585987 16:0.014331210191082803 17:0.014331210191082803 10:0.014331210191082803 12:0.007961783439490446 15:0.0015923566878980893 18:0.0015923566878980893 19:0.0015923566878980893 0:0.0015923566878980893 2:0.0015923566878980893 4:0.0015923566878980893 5:0.0015923566878980893 6:0.0015923566878980893 7:0.0015923566878980893 8:0.0015923566878980893 9:0.0015923566878980893
AP890222-0261 8:0.390495867768595 17:0.2334710743801653 9:0.1921487603305785 1:0.12603305785123967 13:0.01859504132231405 18:0.010330578512396695 11:0.002066115702479339 12:0.002066115702479339 14:0.002066115702479339 15:0.002066115702479339 16:0.002066115702479339 19:0.002066115702479339 0:0.002066115702479339 2:0.002066115702479339 3:0.002066115702479339 4:0.002066115702479339 5:0.002066115702479339 6:0.002066115702479339 7:0.002066115702479339 10:0.002066115702479339
AP890222-0291 17:0.573728813559322 8:0.20084745762711864 16:0.08220338983050847 9:0.04152542372881356 11:0.027966101694915254 3:0.027966101694915254 4:0.011016949152542373 15:0.007627118644067797 12:0.00423728813559322 14:0.00423728813559322 19:0.00423728813559322 2:0.00423728813559322 10:0.00423728813559322 13:8.47457627118644E-4 18:8.47457627118644E-4 0:8.47457627118644E-4 1:8.47457627118644E-4 5:8.47457627118644E-4 6:8.47457627118644E-4 7:8.47457627118644E-4
AP890223-0196 18:0.41929133858267714 11:0.22244094488188976 16:0.1673228346456693 3:0.04921259842519685 13:0.025590551181102362 7:0.025590551181102362 19:0.017716535433070866 4:0.017716535433070866 12:0.00984251968503937 14:0.00984251968503937 15:0.00984251968503937 6:0.00984251968503937 17:0.001968503937007874 0:0.001968503937007874 1:0.001968503937007874 2:0.001968503937007874 5:0.001968503937007874 8:0.001968503937007874 9:0.001968503937007874 10:0.001968503937007874
AP890223-0304 8:0.28733766233766234 1:0.17694805194805194 11:0.16396103896103897 13:0.09902597402597403 14:0.09253246753246754 17:0.08603896103896104 3:0.04707792207792208 16:0.008116883116883116 2:0.008116883116883116 4:0.008116883116883116 10:0.008116883116883116 12:0.0016233766233766235 15:0.0016233766233766235 18:0.0016233766233766235 19:0.0016233766233766235 0:0.0016233766233766235 5:0.0016233766233766235 6:0.0016233766233766235 7:0.0016233766233766235 9:0.0016233766233766235
AP890224-0007 10:0.39444444444444443 19:0.2462962962962963 3:0.09814814814814815 16:0.09074074074074075 1:0.06851851851851852 2:0.03888888888888889 4:0.016666666666666666 11:0.009259259259259259 12:0.009259259259259259 18:0.009259259259259259 13:0.001851851851851852 14:0.001851851851851852 15:0.001851851851851852 17:0.001851851851851852 0:0.001851851851851852 5:0.001851851851851852 6:0.001851851851851852 7:0.001851851851851852 8:0.001851851851851852 9:0.001851851851851852
AP890224-0035 11:0.3187203791469194 14:0.15758293838862558 16:0.11492890995260663 3:0.10545023696682465 10:0.09123222748815166 12:0.06279620853080568 7:0.03909952606635071 2:0.02962085308056872 13:0.024881516587677725 17:0.02014218009478673 1:0.01066350710900474 4:0.01066350710900474 15:0.005924170616113744 18:0.001184834123222749 19:0.001184834123222749 0:0.001184834123222749 5:0.001184834123222749 6:0.001184834123222749 8:0.001184834123222749 9:0.001184834123222749
AP890224-0257 14:0.41386554621848737 11:0.20378151260504201 3:0.12815126050420167 1:0.06092436974789916 7:0.052521008403361345 8:0.03571428571428571 9:0.03571428571428571 16:0.018907563025210083 13:0.01050420168067227 0:0.01050420168067227 10:0.01050420168067227 12:0.0021008403361344537 15:0.0021008403361344537 17:0.0021008403361344537 18:0.0021008403361344537 19:0.0021008403361344537 2:0.0021008403361344537 4:0.0021008403361344537 5:0.0021008403361344537 6:0.0021008403361344537
AP890224-0284 17:0.5258620689655172 3:0.1879310344827586 8:0.08448275862068966 16:0.07758620689655173 6:0.04310344827586207 11:0.022413793103448276 9:0.015517241379310345 14:0.008620689655172414 18:0.008620689655172414 10:0.008620689655172414 12:0.0017241379310344827 13:0.0017241379310344827 15:0.0017241379310344827 19:0.0017241379310344827 0:0.0017241379310344827 1:0.0017241379310344827 2:0.0017241379310344827 4:0.0017241379310344827 5:0.0017241379310344827 7:0.0017241379310344827
AP890225-0018 11:0.4742798353909465 10:0.2273662551440329 3:0.10802469135802469 16:0.09156378600823045 13:0.033950617283950615 18:0.021604938271604937 19:0.021604938271604937 0:0.0051440329218107 6:0.0051440329218107 12:0.00102880658436214 14:0.00102880658436214 15:0.00102880658436214 17:0.00102880658436214 1:0.00102880658436214 2:0.00102880658436214 4:0.00102880658436214 5:0.00102880658436214 7:0.00102880658436214 8:0.00102880658436214 9:0.00102880658436214
AP890225-0024 18:0.2518939393939394 11:0.19128787878787878 14:0.16098484848484848 19:0.07765151515151515 17:0.054924242424242424 3:0.054924242424242424 7:0.04734848484848485 9:0.032196969696969696 10:0.032196969696969696 16:0.02462121212121212 6:0.02462121212121212 1:0.017045454545454544 15:0.00946969696969697 5:0.00946969696969697 12:0.001893939393939394 13:0.001893939393939394 0:0.001893939393939394 2:0.001893939393939394 4:0.001893939393939394 8:0.001893939393939394
AP890225-0055 3:0.22790404040404041 11:0.22285353535353536 14:0.22285353535353536 19:0.09659090909090909 17:0.06628787878787878 16:0.06376262626262626 2:0.02335858585858586 1:0.018308080808080808 15:0.010732323232323232 9:0.010732323232323232 10:0.008207070707070708 13:0.005681818181818182 0:0.005681818181818182 4:0.005681818181818182 8:0.005681818181818182 18:0.0031565656565656565 12:6.313131313131314E-4 5:6.313131313131314E-4 6:6.313131313131314E-4 7:6.313131313131314E-4
AP890225-0086 12:0.3851010101010101 16:0.2335858585858586 6:0.10227272727272728 15:0.09217171717171717 3:0.06186868686868687 17:0.03156565656565657 7:0.021464646464646464 0:0.016414141414141416 2:0.011363636363636364 10:0.011363636363636364 14:0.006313131313131313 19:0.006313131313131313 1:0.006313131313131313 5:0.006313131313131313 11:0.0012626262626262627 13:0.0012626262626262627 18:0.0012626262626262627 4:0.0012626262626262627 8:0.0012626262626262627 9:0.0012626262626262627
AP890225-0125 11:0.268348623853211 6:0.21330275229357798 15:0.19495412844036697 7:0.13990825688073394 14:0.0389908256880734 4:0.0389908256880734 16:0.02981651376146789 18:0.020642201834862386 2:0.020642201834862386 13:0.011467889908256881 12:0.0022935779816513763 17:0.0022935779816513763 19:0.0022935779816513763 0:0.0022935779816513763 1:0.0022935779816513763 3:0.0022935779816513763 5:0.0022935779816513763 8:0.0022935779816513763 9:0.0022935779816513763 10:0.0022935779816513763
AP890226-0072 5:0.31607142857142856 18:0.26607142857142857 16:0.14464285714285716 10:0.0875 3:0.07321428571428572 6:0.044642857142857144 15:0.023214285714285715 0:0.01607142857142857 8:0.008928571428571428 11:0.0017857142857142857 12:0.0017857142857142857 13:0.0017857142857142857 14:0.0017857142857142857 17:0.0017857142857142857 19:0.0017857142857142857 1:0.0017857142857142857 2:0.0017857142857142857 4:0.0017857142857142857 7:0.0017857142857142857 9:0.0017857142857142857
AP890227-0083 6:0.46921182266009853 11:0.29679802955665024 16:0.06527093596059114 18:0.050492610837438424 3:0.050492610837438424 2:0.020935960591133004 14:0.011083743842364532 4:0.011083743842364532 0:0.006157635467980296 9:0.006157635467980296 12:0.0012315270935960591 13:0.0012315270935960591 15:0.0012315270935960591 17:0.0012315270935960591 19:0.0012315270935960591 1:0.0012315270935960591 5:0.0012315270935960591 7:0.0012315270935960591 8:0.0012315270935960591 10:0.0012315270935960591
AP890227-0088 10:0.2706896551724138 18:0.25 3:0.25 16:0.09137931034482759 12:0.029310344827586206 4:0.029310344827586206 5:0.029310344827586206 14:0.015517241379310345 11:0.008620689655172414 7:0.008620689655172414 13:0.0017241379310344827 15:0.0017241379310344827 17:0.0017241379310344827 19:0.0017241379310344827 0:0.0017241379310344827 1:0.0017241379310344827 2:0.0017241379310344827 6:0.0017241379310344827 8:0.0017241379310344827 9:0.0017241379310344827
