AP890102-0099 1:0.4438622754491018 3:0.21332335329341318 9:0.14146706586826346 12:0.04266467065868264 15:0.027694610778443114 14:0.02470059880239521 10:0.02470059880239521 13:0.015718562874251496 2:0.012724550898203593 6:0.012724550898203593 19:0.009730538922155689 8:0.009730538922155689 16:0.006736526946107785 5:0.006736526946107785 0:0.0037425149700598802 11:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 7:7.485029940119761E-4
AP890323-0112 3:0.23634453781512604 8:0.2027310924369748 19:0.10189075630252101 1:0.0976890756302521 9:0.059873949579831935 17:0.05567226890756303 15:0.051470588235294115 14:0.04726890756302521 6:0.04726890756302521 7:0.04726890756302521 11:0.017857142857142856 13:0.01365546218487395 16:0.009453781512605041 18:0.005252100840336135 12:0.0010504201680672268 0:0.0010504201680672268 2:0.0010504201680672268 4:0.0010504201680672268 5:0.0010504201680672268 10:0.0010504201680672268
AP890323-0165 5:0.4775641025641026 11:0.34935897435897434 14:0.0673076923076923 16:0.028846153846153848 12:0.016025641025641024 0:0.016025641025641024 13:0.003205128205128205 15:0.003205128205128205 17:0.003205128205128205 18:0.003205128205128205 19:0.003205128205128205 1:0.003205128205128205 2:0.003205128205128205 3:0.003205128205128205 4:0.003205128205128205 6:0.003205128205128205 7:0.003205128205128205 8:0.003205128205128205 9:0.003205128205128205 10:0.003205128205128205
AP890323-0259 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP890323-0272 6:0.6286407766990292 9:0.23058252427184467 3:0.049352750809061485 11:0.03317152103559871 18:0.013754045307443365 0:0.013754045307443365 19:0.010517799352750809 8:0.007281553398058253 2:0.0040453074433656954 12:8.090614886731392E-4 13:8.090614886731392E-4 14:8.090614886731392E-4 15:8.090614886731392E-4 16:8.090614886731392E-4 17:8.090614886731392E-4 1:8.090614886731392E-4 4:8.090614886731392E-4 5:8.090614886731392E-4 7:8.090614886731392E-4 10:8.090614886731392E-4
AP890323-0285 4:0.315625 11:0.208125 3:0.138125 9:0.123125 16:0.078125 6:0.063125 7:0.020625 17:0.018125 5:0.013125 13:0.008125 19:0.008125 12:6.25E-4 14:6.25E-4 15:6.25E-4 18:6.25E-4 0:6.25E-4 1:6.25E-4 2:6.25E-4 8:6.25E-4 10:6.25E-4
AP890324-0006 0:0.4034653465346535 11:0.2978547854785479 9:0.15594059405940594 3:0.08003300330033003 19:0.020627062706270627 2:0.014026402640264026 13:0.007425742574257425 5:0.007425742574257425 1:0.004125412541254125 12:8.250825082508251E-4 14:8.250825082508251E-4 15:8.250825082508251E-4 16:8.250825082508251E-4 17:8.250825082508251E-4 18:8.250825082508251E-4 4:8.250825082508251E-4 6:8.250825082508251E-4 7:8.250825082508251E-4 8:8.250825082508251E-4 10:8.250825082508251E-4
AP890324-0055 2:0.7409747292418772 3:0.14891696750902528 9:0.04422382671480144 14:0.015342960288808664 15:0.015342960288808664 7:0.008122743682310469 8:0.008122743682310469 16:0.004512635379061372 19:0.004512635379061372 11:9.025270758122744E-4 12:9.025270758122744E-4 13:9.025270758122744E-4 17:9.025270758122744E-4 18:9.025270758122744E-4 0:9.025270758122744E-4 1:9.025270758122744E-4 4:9.025270758122744E-4 5:9.025270758122744E-4 6:9.025270758122744E-4 10:9.025270758122744E-4
AP890324-0091 0:0.6080246913580247 3:0.22530864197530864 14:0.06481481481481481 13:0.040123456790123455 15:0.015432098765432098 11:0.0030864197530864196 12:0.0030864197530864196 16:0.0030864197530864196 17:0.0030864197530864196 18:0.0030864197530864196 19:0.0030864197530864196 1:0.0030864197530864196 2:0.0030864197530864196 4:0.0030864197530864196 5:0.0030864197530864196 6:0.0030864197530864196 7:0.0030864197530864196 8:0.0030864197530864196 9:0.0030864197530864196 10:0.0030864197530864196
AP890324-0219 0:0.6155913978494624 3:0.18548387096774194 13:0.06720430107526881 14:0.03494623655913978 19:0.024193548387096774 1:0.013440860215053764 5:0.013440860215053764 9:0.013440860215053764 11:0.002688172043010753 12:0.002688172043010753 15:0.002688172043010753 16:0.002688172043010753 17:0.002688172043010753 18:0.002688172043010753 2:0.002688172043010753 4:0.002688172043010753 6:0.002688172043010753 7:0.002688172043010753 8:0.002688172043010753 10:0.002688172043010753
AP890325-0055 6:0.565625 13:0.153125 9:0.115625 16:0.040625 12:0.028125 15:0.015625 18:0.015625 19:0.015625 2:0.015625 11:0.003125 14:0.003125 17:0.003125 0:0.003125 1:0.003125 3:0.003125 4:0.003125 5:0.003125 7:0.003125 8:0.003125 10:0.003125
AP890326-0020 0:0.4994172494172494 11:0.12412587412587413 9:0.11946386946386946 5:0.08216783216783216 4:0.07051282051282051 3:0.06818181818181818 10:0.012237762237762238 19:0.007575757575757576 17:0.005244755244755245 6:0.005244755244755245 12:5.827505827505828E-4 13:5.827505827505828E-4 14:5.827505827505828E-4 15:5.827505827505828E-4 16:5.827505827505828E-4 18:5.827505827505828E-4 1:5.827505827505828E-4 2:5.827505827505828E-4 7:5.827505827505828E-4 8:5.827505827505828E-4
AP890327-0071 9:0.2525974025974026 17:0.2422077922077922 3:0.1435064935064935 1:0.1279220779220779 18:0.07077922077922078 11:0.05 12:0.05 19:0.02922077922077922 15:0.013636363636363636 6:0.008441558441558441 7:0.003246753246753247 8:0.003246753246753247 13:6.493506493506494E-4 14:6.493506493506494E-4 16:6.493506493506494E-4 0:6.493506493506494E-4 2:6.493506493506494E-4 4:6.493506493506494E-4 5:6.493506493506494E-4 10:6.493506493506494E-4
AP890327-0182 3:0.310790273556231 15:0.2986322188449848 8:0.16793313069908813 1:0.05851063829787234 9:0.05547112462006079 5:0.04331306990881459 7:0.015957446808510637 12:0.012917933130699088 10:0.009878419452887538 17:0.006838905775075988 18:0.006838905775075988 16:0.003799392097264438 19:0.003799392097264438 11:7.598784194528875E-4 13:7.598784194528875E-4 14:7.598784194528875E-4 0:7.598784194528875E-4 2:7.598784194528875E-4 4:7.598784194528875E-4 6:7.598784194528875E-4
AP890327-0207 0:0.6077044025157232 5:0.09512578616352202 3:0.07940251572327044 10:0.0479559748427673 17:0.04481132075471698 9:0.04481132075471698 11:0.03223270440251572 12:0.019654088050314465 15:0.007075471698113208 2:0.007075471698113208 14:0.003930817610062893 18:0.003930817610062893 13:7.861635220125787E-4 16:7.861635220125787E-4 19:7.861635220125787E-4 1:7.861635220125787E-4 4:7.861635220125787E-4 6:7.861635220125787E-4 7:7.861635220125787E-4 8:7.861635220125787E-4
AP890327-0209 0:0.528021978021978 3:0.09285714285714286 5:0.06648351648351648 10:0.06208791208791209 17:0.0489010989010989 9:0.046703296703296704 11:0.04230769230769231 2:0.03131868131868132 12:0.02912087912087912 19:0.015934065934065933 1:0.015934065934065933 7:0.00934065934065934 18:0.004945054945054945 6:0.0027472527472527475 13:5.494505494505495E-4 14:5.494505494505495E-4 15:5.494505494505495E-4 16:5.494505494505495E-4 4:5.494505494505495E-4 8:5.494505494505495E-4
AP890329-0223 4:0.6532258064516129 9:0.1693548387096774 11:0.09838709677419355 8:0.020967741935483872 19:0.014516129032258065 14:0.008064516129032258 16:0.008064516129032258 2:0.008064516129032258 12:0.0016129032258064516 13:0.0016129032258064516 15:0.0016129032258064516 17:0.0016129032258064516 18:0.0016129032258064516 0:0.0016129032258064516 1:0.0016129032258064516 3:0.0016129032258064516 5:0.0016129032258064516 6:0.0016129032258064516 7:0.0016129032258064516 10:0.0016129032258064516
AP890330-0024 0:0.43232044198895025 1:0.2058011049723757 9:0.11740331491712708 11:0.062154696132596686 5:0.04558011049723757 8:0.04005524861878453 16:0.029005524861878452 15:0.023480662983425413 3:0.023480662983425413 13:0.006906077348066298 12:0.0013812154696132596 14:0.0013812154696132596 17:0.0013812154696132596 18:0.0013812154696132596 19:0.0013812154696132596 2:0.0013812154696132596 4:0.0013812154696132596 6:0.0013812154696132596 7:0.0013812154696132596 10:0.0013812154696132596
AP890330-0034 8:0.2730125523012552 3:0.2395397489539749 15:0.2186192468619247 1:0.08472803347280335 16:0.07635983263598327 14:0.02615062761506276 6:0.021966527196652718 0:0.013598326359832637 10:0.013598326359832637 11:0.009414225941422594 12:0.005230125523012552 19:0.005230125523012552 7:0.005230125523012552 13:0.0010460251046025104 17:0.0010460251046025104 18:0.0010460251046025104 2:0.0010460251046025104 4:0.0010460251046025104 5:0.0010460251046025104 9:0.0010460251046025104
AP890330-0080 5:0.465203426124197 11:0.22109207708779444 12:0.06477516059957174 3:0.05620985010706638 13:0.04764453961456103 0:0.034796573875803 14:0.024089935760171308 1:0.01980728051391863 2:0.01980728051391863 16:0.013383297644539615 19:0.011241970021413276 10:0.009100642398286937 8:0.004817987152034261 7:0.0026766595289079227 9:0.0026766595289079227 15:5.353319057815846E-4 17:5.353319057815846E-4 18:5.353319057815846E-4 4:5.353319057815846E-4 6:5.353319057815846E-4
AP890330-0089 2:0.7418981481481481 9:0.0798611111111111 16:0.028935185185185185 14:0.024305555555555556 0:0.024305555555555556 8:0.019675925925925927 6:0.015046296296296295 13:0.010416666666666666 17:0.010416666666666666 1:0.010416666666666666 3:0.010416666666666666 11:0.005787037037037037 12:0.005787037037037037 10:0.005787037037037037 15:0.0011574074074074073 18:0.0011574074074074073 19:0.0011574074074074073 4:0.0011574074074074073 5:0.0011574074074074073 7:0.0011574074074074073
AP890330-0232 6:0.6778350515463918 9:0.179553264604811 3:0.04896907216494845 11:0.03865979381443299 15:0.02491408934707904 17:0.00429553264604811 19:0.00429553264604811 2:0.00429553264604811 4:0.00429553264604811 5:0.00429553264604811 12:8.59106529209622E-4 13:8.59106529209622E-4 14:8.59106529209622E-4 16:8.59106529209622E-4 18:8.59106529209622E-4 0:8.59106529209622E-4 1:8.59106529209622E-4 7:8.59106529209622E-4 8:8.59106529209622E-4 10:8.59106529209622E-4
AP890330-0244 8:0.46475054229934926 3:0.2239696312364425 16:0.07863340563991324 9:0.05911062906724512 11:0.056941431670282 6:0.04175704989154013 15:0.022234273318872018 1:0.0113882863340564 18:0.009219088937093275 10:0.009219088937093275 14:0.004880694143167028 5:0.004880694143167028 13:0.0027114967462039045 17:0.0027114967462039045 19:0.0027114967462039045 2:0.0027114967462039045 12:5.422993492407809E-4 0:5.422993492407809E-4 4:5.422993492407809E-4 7:5.422993492407809E-4
AP890330-0246 6:0.669732441471572 9:0.13795986622073578 3:0.08110367892976589 11:0.047658862876254184 1:0.014214046822742474 16:0.010869565217391304 15:0.007525083612040134 0:0.007525083612040134 2:0.007525083612040134 13:0.004180602006688963 18:0.004180602006688963 12:8.361204013377926E-4 14:8.361204013377926E-4 17:8.361204013377926E-4 19:8.361204013377926E-4 4:8.361204013377926E-4 5:8.361204013377926E-4 7:8.361204013377926E-4 8:8.361204013377926E-4 10:8.361204013377926E-4
AP890330-0254 17:0.5160550458715596 6:0.18577981651376146 9:0.13990825688073394 12:0.05733944954128441 1:0.02981651376146789 16:0.020642201834862386 19:0.020642201834862386 11:0.0022935779816513763 13:0.0022935779816513763 14:0.0022935779816513763 15:0.0022935779816513763 18:0.0022935779816513763 0:0.0022935779816513763 2:0.0022935779816513763 3:0.0022935779816513763 4:0.0022935779816513763 5:0.0022935779816513763 7:0.0022935779816513763 8:0.0022935779816513763 10:0.0022935779816513763
AP890330-0256 5:0.33564814814814814 11:0.19675925925925927 9:0.16898148148148148 13:0.13194444444444445 19:0.04861111111111111 6:0.03009259259259259 10:0.03009259259259259 0:0.020833333333333332 16:0.011574074074074073 12:0.0023148148148148147 14:0.0023148148148148147 15:0.0023148148148148147 17:0.0023148148148148147 18:0.0023148148148148147 1:0.0023148148148148147 2:0.0023148148148148147 3:0.0023148148148148147 4:0.0023148148148148147 7:0.0023148148148148147 8:0.0023148148148148147
AP890403-0007 6:0.32544757033248084 11:0.17710997442455242 15:0.11572890025575447 9:0.11572890025575447 7:0.08248081841432225 13:0.05946291560102302 1:0.05434782608695652 8:0.021099744245524295 3:0.013427109974424553 14:0.010869565217391304 12:0.008312020460358057 2:0.005754475703324808 16:0.00319693094629156 4:0.00319693094629156 17:6.393861892583121E-4 18:6.393861892583121E-4 19:6.393861892583121E-4 0:6.393861892583121E-4 5:6.393861892583121E-4 10:6.393861892583121E-4
AP890403-0060 10:0.4474063400576369 17:0.12752161383285301 3:0.11887608069164265 9:0.11599423631123919 2:0.0670028818443804 5:0.035302593659942365 0:0.029538904899135448 11:0.018011527377521614 13:0.015129682997118156 4:0.009365994236311239 12:0.0036023054755043226 15:0.0036023054755043226 1:0.0036023054755043226 14:7.204610951008645E-4 16:7.204610951008645E-4 18:7.204610951008645E-4 19:7.204610951008645E-4 6:7.204610951008645E-4 7:7.204610951008645E-4 8:7.204610951008645E-4
AP890403-0119 0:0.6224082934609251 9:0.17424242424242425 3:0.10247208931419458 10:0.02113237639553429 11:0.013157894736842105 2:0.009968102073365232 5:0.009968102073365232 1:0.008373205741626795 4:0.008373205741626795 19:0.006778309409888357 6:0.00518341307814992 13:0.0035885167464114833 14:0.0035885167464114833 18:0.0035885167464114833 7:0.0035885167464114833 15:0.001993620414673046 12:3.9872408293460925E-4 16:3.9872408293460925E-4 17:3.9872408293460925E-4 8:3.9872408293460925E-4
AP890403-0124 0:0.3478982300884956 9:0.16869469026548672 3:0.12444690265486726 10:0.10896017699115045 7:0.07798672566371681 12:0.0625 13:0.02267699115044248 1:0.02267699115044248 18:0.009402654867256638 19:0.009402654867256638 16:0.007190265486725664 4:0.007190265486725664 15:0.00497787610619469 2:0.00497787610619469 5:0.00497787610619469 6:0.00497787610619469 8:0.00497787610619469 11:0.0027654867256637168 14:0.0027654867256637168 17:5.530973451327434E-4
AP890403-0131 17:0.3351851851851852 11:0.2611111111111111 6:0.17962962962962964 9:0.06851851851851852 13:0.053703703703703705 14:0.053703703703703705 4:0.016666666666666666 18:0.009259259259259259 12:0.001851851851851852 15:0.001851851851851852 16:0.001851851851851852 19:0.001851851851851852 0:0.001851851851851852 1:0.001851851851851852 2:0.001851851851851852 3:0.001851851851851852 5:0.001851851851851852 7:0.001851851851851852 8:0.001851851851851852 10:0.001851851851851852
AP890403-0141 8:0.36275626423690205 6:0.1919134396355353 11:0.1417995444191344 3:0.09851936218678815 15:0.050683371298405465 9:0.03929384965831435 16:0.03018223234624146 13:0.02334851936218679 18:0.02334851936218679 1:0.021070615034168565 12:0.005125284738041002 0:0.005125284738041002 2:0.0028473804100227792 14:5.694760820045558E-4 17:5.694760820045558E-4 19:5.694760820045558E-4 4:5.694760820045558E-4 5:5.694760820045558E-4 7:5.694760820045558E-4 10:5.694760820045558E-4
AP890404-0013 5:0.528804347826087 11:0.18532608695652175 9:0.08097826086956522 12:0.07228260869565217 0:0.0375 3:0.035326086956521736 17:0.022282608695652174 16:0.01141304347826087 1:0.007065217391304348 6:0.004891304347826087 10:0.004891304347826087 2:0.002717391304347826 4:0.002717391304347826 13:5.434782608695652E-4 14:5.434782608695652E-4 15:5.434782608695652E-4 18:5.434782608695652E-4 19:5.434782608695652E-4 7:5.434782608695652E-4 8:5.434782608695652E-4
AP890404-0223 13:0.5737951807228916 11:0.16415662650602408 17:0.09789156626506024 9:0.03765060240963856 1:0.025602409638554216 7:0.025602409638554216 3:0.01957831325301205 4:0.01355421686746988 6:0.01355421686746988 12:0.007530120481927711 10:0.007530120481927711 14:0.0015060240963855422 15:0.0015060240963855422 16:0.0015060240963855422 18:0.0015060240963855422 19:0.0015060240963855422 0:0.0015060240963855422 2:0.0015060240963855422 5:0.0015060240963855422 8:0.0015060240963855422
AP890404-0253 12:0.5726744186046512 19:0.10755813953488372 11:0.09593023255813954 3:0.07267441860465117 13:0.04941860465116279 17:0.0377906976744186 16:0.014534883720930232 6:0.014534883720930232 14:0.0029069767441860465 15:0.0029069767441860465 18:0.0029069767441860465 0:0.0029069767441860465 1:0.0029069767441860465 2:0.0029069767441860465 4:0.0029069767441860465 5:0.0029069767441860465 7:0.0029069767441860465 8:0.0029069767441860465 9:0.0029069767441860465 10:0.0029069767441860465
AP890405-0033 5:0.28744493392070486 9:0.1817180616740088 10:0.1817180616740088 2:0.07158590308370044 11:0.0671806167400881 12:0.04515418502202643 18:0.04515418502202643 3:0.04515418502202643 0:0.03634361233480176 7:0.009911894273127754 8:0.009911894273127754 13:0.005506607929515419 17:0.005506607929515419 14:0.0011013215859030838 15:0.0011013215859030838 16:0.0011013215859030838 19:0.0011013215859030838 1:0.0011013215859030838 4:0.0011013215859030838 6:0.0011013215859030838
AP890405-0048 10:0.45184696569920846 0:0.22229551451187335 9:0.10092348284960422 3:0.07981530343007916 5:0.05343007915567282 2:0.03496042216358839 15:0.01912928759894459 14:0.008575197889182058 11:0.005936675461741424 19:0.005936675461741424 4:0.005936675461741424 16:0.0032981530343007917 6:0.0032981530343007917 12:6.596306068601583E-4 13:6.596306068601583E-4 17:6.596306068601583E-4 18:6.596306068601583E-4 1:6.596306068601583E-4 7:6.596306068601583E-4 8:6.596306068601583E-4
AP890405-0171 5:0.46634615384615385 4:0.2548076923076923 16:0.08173076923076923 9:0.08173076923076923 13:0.02403846153846154 14:0.02403846153846154 11:0.004807692307692308 12:0.004807692307692308 15:0.004807692307692308 17:0.004807692307692308 18:0.004807692307692308 19:0.004807692307692308 0:0.004807692307692308 1:0.004807692307692308 2:0.004807692307692308 3:0.004807692307692308 6:0.004807692307692308 7:0.004807692307692308 8:0.004807692307692308 10:0.004807692307692308
AP890407-0020 12:0.45445736434108525 3:0.15213178294573643 5:0.11724806201550388 9:0.09786821705426356 11:0.0939922480620155 4:0.035852713178294575 8:0.02422480620155039 14:0.0048449612403100775 15:0.0048449612403100775 2:0.0048449612403100775 13:9.689922480620155E-4 16:9.689922480620155E-4 17:9.689922480620155E-4 18:9.689922480620155E-4 19:9.689922480620155E-4 0:9.689922480620155E-4 1:9.689922480620155E-4 6:9.689922480620155E-4 7:9.689922480620155E-4 10:9.689922480620155E-4
AP890407-0022 6:0.2765017667844523 9:0.2234982332155477 11:0.21643109540636044 7:0.18109540636042404 18:0.029151943462897525 3:0.029151943462897525 13:0.018551236749116608 17:0.007950530035335688 0:0.007950530035335688 12:8.833922261484099E-4 14:8.833922261484099E-4 15:8.833922261484099E-4 16:8.833922261484099E-4 19:8.833922261484099E-4 1:8.833922261484099E-4 2:8.833922261484099E-4 4:8.833922261484099E-4 5:8.833922261484099E-4 8:8.833922261484099E-4 10:8.833922261484099E-4
AP890407-0225 10:0.5913654618473896 9:0.11345381526104417 1:0.10140562248995984 11:0.07730923694779117 3:0.03714859437751004 18:0.029116465863453816 8:0.025100401606425703 14:0.0050200803212851405 19:0.0050200803212851405 5:0.0050200803212851405 12:0.001004016064257028 13:0.001004016064257028 15:0.001004016064257028 16:0.001004016064257028 17:0.001004016064257028 0:0.001004016064257028 2:0.001004016064257028 4:0.001004016064257028 6:0.001004016064257028 7:0.001004016064257028
AP890407-0283 2:0.7178571428571429 9:0.14357142857142857 3:0.08071428571428571 16:0.023571428571428573 11:0.015 12:0.0064285714285714285 13:0.0035714285714285713 14:7.142857142857143E-4 15:7.142857142857143E-4 17:7.142857142857143E-4 18:7.142857142857143E-4 19:7.142857142857143E-4 0:7.142857142857143E-4 1:7.142857142857143E-4 4:7.142857142857143E-4 5:7.142857142857143E-4 6:7.142857142857143E-4 7:7.142857142857143E-4 8:7.142857142857143E-4 10:7.142857142857143E-4
AP890408-0065 2:0.4577625570776256 9:0.3253424657534247 18:0.07420091324200913 3:0.07420091324200913 13:0.033105022831050226 11:0.010273972602739725 15:0.010273972602739725 12:0.001141552511415525 14:0.001141552511415525 16:0.001141552511415525 17:0.001141552511415525 19:0.001141552511415525 0:0.001141552511415525 1:0.001141552511415525 4:0.001141552511415525 5:0.001141552511415525 6:0.001141552511415525 7:0.001141552511415525 8:0.001141552511415525 10:0.001141552511415525
AP890410-0038 8:0.22142857142857142 9:0.20238095238095238 3:0.1738095238095238 1:0.15476190476190477 10:0.07857142857142857 0:0.06904761904761905 19:0.030952380952380953 11:0.02142857142857143 15:0.011904761904761904 18:0.011904761904761904 12:0.002380952380952381 13:0.002380952380952381 14:0.002380952380952381 16:0.002380952380952381 17:0.002380952380952381 2:0.002380952380952381 4:0.002380952380952381 5:0.002380952380952381 6:0.002380952380952381 7:0.002380952380952381
AP890410-0077 2:0.7971976401179941 3:0.059734513274336286 9:0.05383480825958702 16:0.021386430678466076 14:0.015486725663716814 11:0.012536873156342183 1:0.012536873156342183 6:0.012536873156342183 0:0.003687315634218289 4:0.003687315634218289 12:7.374631268436578E-4 13:7.374631268436578E-4 15:7.374631268436578E-4 17:7.374631268436578E-4 18:7.374631268436578E-4 19:7.374631268436578E-4 5:7.374631268436578E-4 7:7.374631268436578E-4 8:7.374631268436578E-4 10:7.374631268436578E-4
AP890410-0244 16:0.6085858585858586 11:0.17424242424242425 14:0.04292929292929293 3:0.04292929292929293 9:0.04292929292929293 2:0.022727272727272728 4:0.022727272727272728 12:0.012626262626262626 13:0.0025252525252525255 15:0.0025252525252525255 17:0.0025252525252525255 18:0.0025252525252525255 19:0.0025252525252525255 0:0.0025252525252525255 1:0.0025252525252525255 5:0.0025252525252525255 6:0.0025252525252525255 7:0.0025252525252525255 8:0.0025252525252525255 10:0.0025252525252525255
AP890410-0257 2:0.7813315926892951 3:0.1129242819843342 9:0.03720626631853786 1:0.01370757180156658 14:0.011096605744125326 4:0.011096605744125326 7:0.011096605744125326 17:0.00587467362924282 0:0.00587467362924282 18:0.0032637075718015664 11:6.527415143603133E-4 12:6.527415143603133E-4 13:6.527415143603133E-4 15:6.527415143603133E-4 16:6.527415143603133E-4 19:6.527415143603133E-4 5:6.527415143603133E-4 6:6.527415143603133E-4 8:6.527415143603133E-4 10:6.527415143603133E-4
AP890411-0137 2:0.7845052083333334 3:0.08138020833333333 9:0.06315104166666667 11:0.018880208333333332 1:0.013671875 14:0.011067708333333334 15:0.005859375 16:0.005859375 18:0.005859375 17:0.0032552083333333335 12:6.510416666666666E-4 13:6.510416666666666E-4 19:6.510416666666666E-4 0:6.510416666666666E-4 4:6.510416666666666E-4 5:6.510416666666666E-4 6:6.510416666666666E-4 7:6.510416666666666E-4 8:6.510416666666666E-4 10:6.510416666666666E-4
AP890411-0213 17:0.33641975308641975 6:0.17592592592592593 12:0.1388888888888889 1:0.07716049382716049 11:0.06481481481481481 5:0.05246913580246913 18:0.027777777777777776 4:0.027777777777777776 7:0.027777777777777776 19:0.015432098765432098 3:0.015432098765432098 9:0.015432098765432098 13:0.0030864197530864196 14:0.0030864197530864196 15:0.0030864197530864196 16:0.0030864197530864196 0:0.0030864197530864196 2:0.0030864197530864196 8:0.0030864197530864196 10:0.0030864197530864196
AP890411-0223 4:0.734375 19:0.06473214285714286 5:0.046875 11:0.03794642857142857 9:0.03794642857142857 16:0.020089285714285716 1:0.020089285714285716 10:0.011160714285714286 12:0.002232142857142857 13:0.002232142857142857 14:0.002232142857142857 15:0.002232142857142857 17:0.002232142857142857 18:0.002232142857142857 0:0.002232142857142857 2:0.002232142857142857 3:0.002232142857142857 6:0.002232142857142857 7:0.002232142857142857 8:0.002232142857142857
AP890412-0288 6:0.5737822349570201 11:0.10959885386819485 7:0.10673352435530085 9:0.08667621776504297 3:0.0666189111747851 16:0.01790830945558739 15:0.01504297994269341 1:0.012177650429799427 19:0.0035816618911174787 12:7.163323782234957E-4 13:7.163323782234957E-4 14:7.163323782234957E-4 17:7.163323782234957E-4 18:7.163323782234957E-4 0:7.163323782234957E-4 2:7.163323782234957E-4 4:7.163323782234957E-4 5:7.163323782234957E-4 8:7.163323782234957E-4 10:7.163323782234957E-4
AP890413-0005 10:0.41103603603603606 3:0.14076576576576577 7:0.09572072072072071 6:0.08220720720720721 2:0.059684684684684686 0:0.05518018018018018 9:0.05518018018018018 1:0.05067567567567568 18:0.010135135135135136 19:0.010135135135135136 4:0.010135135135135136 12:0.00563063063063063 15:0.00563063063063063 11:0.0011261261261261261 13:0.0011261261261261261 14:0.0011261261261261261 16:0.0011261261261261261 17:0.0011261261261261261 5:0.0011261261261261261 8:0.0011261261261261261
AP890413-0051 2:0.5939716312056738 3:0.15425531914893617 7:0.09042553191489362 14:0.05969267139479906 11:0.026595744680851064 9:0.01950354609929078 15:0.012411347517730497 6:0.012411347517730497 10:0.01004728132387707 17:0.005319148936170213 1:0.005319148936170213 13:0.002955082742316785 8:0.002955082742316785 12:5.91016548463357E-4 16:5.91016548463357E-4 18:5.91016548463357E-4 19:5.91016548463357E-4 0:5.91016548463357E-4 4:5.91016548463357E-4 5:5.91016548463357E-4
AP890413-0114 10:0.2598314606741573 6:0.15308988764044945 18:0.11938202247191011 7:0.10814606741573034 8:0.09129213483146068 12:0.0800561797752809 3:0.046348314606741575 16:0.02949438202247191 2:0.02949438202247191 15:0.023876404494382022 11:0.012640449438202247 13:0.012640449438202247 9:0.012640449438202247 4:0.007022471910112359 5:0.007022471910112359 14:0.0014044943820224719 17:0.0014044943820224719 19:0.0014044943820224719 0:0.0014044943820224719 1:0.0014044943820224719
AP890413-0125 2:0.7577951002227171 9:0.06737193763919821 3:0.060690423162583516 13:0.03841870824053452 4:0.013919821826280624 18:0.011692650334075724 10:0.011692650334075724 0:0.009465478841870824 17:0.007238307349665924 11:0.005011135857461025 19:0.005011135857461025 12:0.0027839643652561247 14:0.0027839643652561247 6:0.0027839643652561247 15:5.567928730512249E-4 16:5.567928730512249E-4 1:5.567928730512249E-4 5:5.567928730512249E-4 7:5.567928730512249E-4 8:5.567928730512249E-4
AP890413-0126 2:0.8754355400696864 9:0.06358885017421603 4:0.01132404181184669 17:0.0078397212543554 3:0.0078397212543554 10:0.0078397212543554 11:0.004355400696864111 12:0.004355400696864111 14:0.004355400696864111 6:0.004355400696864111 13:8.710801393728223E-4 15:8.710801393728223E-4 16:8.710801393728223E-4 18:8.710801393728223E-4 19:8.710801393728223E-4 0:8.710801393728223E-4 1:8.710801393728223E-4 5:8.710801393728223E-4 7:8.710801393728223E-4 8:8.710801393728223E-4
AP890413-0221 2:0.884698275862069 9:0.04418103448275862 13:0.022629310344827586 14:0.009698275862068966 15:0.005387931034482759 16:0.005387931034482759 18:0.005387931034482759 3:0.005387931034482759 8:0.005387931034482759 11:0.0010775862068965517 12:0.0010775862068965517 17:0.0010775862068965517 19:0.0010775862068965517 0:0.0010775862068965517 1:0.0010775862068965517 4:0.0010775862068965517 5:0.0010775862068965517 6:0.0010775862068965517 7:0.0010775862068965517 10:0.0010775862068965517
AP890413-0274 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP890414-0016 6:0.5079710144927536 9:0.16014492753623188 15:0.08188405797101449 7:0.05 3:0.041304347826086954 11:0.03840579710144928 2:0.035507246376811595 8:0.035507246376811595 12:0.02681159420289855 14:0.006521739130434782 16:0.006521739130434782 18:0.0036231884057971015 13:7.246376811594203E-4 17:7.246376811594203E-4 19:7.246376811594203E-4 0:7.246376811594203E-4 1:7.246376811594203E-4 4:7.246376811594203E-4 5:7.246376811594203E-4 10:7.246376811594203E-4
