AP890101-0002 2:0.23648648648648649 0:0.15786240786240785 19:0.10872235872235872 7:0.09398034398034398 5:0.08169533169533169 13:0.07678132678132678 11:0.06203931203931204 4:0.05466830466830467 6:0.049754299754299756 10:0.04238329238329238 9:0.017813267813267815 16:0.010442260442260442 1:0.003071253071253071 12:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 17:6.142506142506142E-4 18:6.142506142506142E-4 3:6.142506142506142E-4 8:6.142506142506142E-4
AP890324-0056 17:0.7611607142857143 2:0.06473214285714286 12:0.03794642857142857 4:0.03794642857142857 18:0.029017857142857144 15:0.020089285714285716 14:0.011160714285714286 9:0.011160714285714286 11:0.002232142857142857 13:0.002232142857142857 16:0.002232142857142857 19:0.002232142857142857 0:0.002232142857142857 1:0.002232142857142857 3:0.002232142857142857 5:0.002232142857142857 6:0.002232142857142857 7:0.002232142857142857 8:0.002232142857142857 10:0.002232142857142857
AP890324-0162 15:0.6862416107382551 2:0.15604026845637584 16:0.08892617449664429 3:0.03523489932885906 10:0.008389261744966443 11:0.0016778523489932886 12:0.0016778523489932886 13:0.0016778523489932886 14:0.0016778523489932886 17:0.0016778523489932886 18:0.0016778523489932886 19:0.0016778523489932886 0:0.0016778523489932886 1:0.0016778523489932886 4:0.0016778523489932886 5:0.0016778523489932886 6:0.0016778523489932886 7:0.0016778523489932886 8:0.0016778523489932886 9:0.0016778523489932886
AP890324-0189 13:0.4242957746478873 15:0.19190140845070422 18:0.1073943661971831 8:0.0721830985915493 5:0.06514084507042253 2:0.04401408450704225 17:0.03697183098591549 4:0.022887323943661973 12:0.008802816901408451 10:0.008802816901408451 11:0.0017605633802816902 14:0.0017605633802816902 16:0.0017605633802816902 19:0.0017605633802816902 0:0.0017605633802816902 1:0.0017605633802816902 3:0.0017605633802816902 6:0.0017605633802816902 7:0.0017605633802816902 9:0.0017605633802816902
AP890324-0213 19:0.2558651026392962 1:0.24120234604105573 5:0.2118768328445748 2:0.12683284457478006 17:0.047653958944281524 13:0.041788856304985335 7:0.030058651026392963 8:0.012463343108504398 14:0.009530791788856305 15:0.006598240469208211 11:0.0036656891495601175 12:0.0036656891495601175 4:0.0036656891495601175 16:7.331378299120235E-4 18:7.331378299120235E-4 0:7.331378299120235E-4 3:7.331378299120235E-4 6:7.331378299120235E-4 9:7.331378299120235E-4 10:7.331378299120235E-4
AP890324-0214 12:0.7524509803921569 5:0.10866013071895425 2:0.056372549019607844 19:0.02369281045751634 8:0.013888888888888888 17:0.010620915032679739 1:0.010620915032679739 3:0.007352941176470588 14:0.004084967320261438 7:0.004084967320261438 11:8.169934640522876E-4 13:8.169934640522876E-4 15:8.169934640522876E-4 16:8.169934640522876E-4 18:8.169934640522876E-4 0:8.169934640522876E-4 4:8.169934640522876E-4 6:8.169934640522876E-4 9:8.169934640522876E-4 10:8.169934640522876E-4
AP890324-0245 4:0.2584841628959276 2:0.20644796380090497 6:0.08653846153846154 11:0.07975113122171945 19:0.07748868778280543 1:0.06843891402714933 0:0.05486425339366516 3:0.050339366515837106 5:0.03223981900452489 18:0.025452488687782805 16:0.02092760180995475 10:0.02092760180995475 14:0.01414027149321267 12:5.656108597285068E-4 13:5.656108597285068E-4 15:5.656108597285068E-4 17:5.656108597285068E-4 7:5.656108597285068E-4 8:5.656108597285068E-4 9:5.656108597285068E-4
AP890325-0059 14:0.414850136239782 16:0.12057220708446867 15:0.10967302452316076 3:0.082425068119891 2:0.07697547683923706 4:0.060626702997275204 17:0.030653950953678476 0:0.025204359673024524 5:0.022479564032697547 8:0.022479564032697547 11:0.011580381471389645 6:0.006130790190735695 10:0.006130790190735695 1:0.0034059945504087193 9:0.0034059945504087193 12:6.811989100817438E-4 13:6.811989100817438E-4 18:6.811989100817438E-4 19:6.811989100817438E-4 7:6.811989100817438E-4
AP890325-0110 13:0.539179104477612 15:0.22574626865671643 18:0.08395522388059702 5:0.054104477611940295 10:0.024253731343283583 2:0.016791044776119403 3:0.016791044776119403 0:0.009328358208955223 4:0.009328358208955223 11:0.0018656716417910447 12:0.0018656716417910447 14:0.0018656716417910447 16:0.0018656716417910447 17:0.0018656716417910447 19:0.0018656716417910447 1:0.0018656716417910447 6:0.0018656716417910447 7:0.0018656716417910447 8:0.0018656716417910447 9:0.0018656716417910447
AP890326-0085 2:0.22441860465116278 5:0.2058139534883721 19:0.18255813953488373 16:0.08023255813953488 12:0.0755813953488372 1:0.0755813953488372 4:0.03372093023255814 11:0.02441860465116279 13:0.02441860465116279 18:0.015116279069767442 7:0.015116279069767442 17:0.010465116279069767 0:0.010465116279069767 9:0.010465116279069767 14:0.005813953488372093 15:0.0011627906976744186 3:0.0011627906976744186 6:0.0011627906976744186 8:0.0011627906976744186 10:0.0011627906976744186
AP890327-0004 15:0.22246503496503497 4:0.16826923076923078 2:0.12281468531468531 8:0.11407342657342658 9:0.10358391608391608 3:0.08610139860139861 5:0.052884615384615384 11:0.024912587412587412 6:0.023164335664335664 17:0.019667832167832168 18:0.016171328671328672 13:0.012674825174825174 14:0.012674825174825174 10:0.00743006993006993 16:0.003933566433566434 1:0.003933566433566434 0:0.0021853146853146855 7:0.0021853146853146855 12:4.3706293706293706E-4 19:4.3706293706293706E-4
AP890327-0018 9:0.5125 2:0.15535714285714286 19:0.1505952380952381 5:0.07678571428571429 8:0.04583333333333333 14:0.0125 10:0.0125 11:0.01011904761904762 17:0.005357142857142857 1:0.005357142857142857 13:0.002976190476190476 18:0.002976190476190476 7:0.002976190476190476 12:5.952380952380953E-4 15:5.952380952380953E-4 16:5.952380952380953E-4 0:5.952380952380953E-4 3:5.952380952380953E-4 4:5.952380952380953E-4 6:5.952380952380953E-4
AP890327-0169 17:0.16049913941480207 1:0.1553356282271945 2:0.12091222030981068 18:0.0950946643717728 6:0.08304647160068847 15:0.07271944922547333 11:0.07099827882960413 0:0.06755593803786575 9:0.050344234079173836 4:0.04690189328743546 14:0.04173838209982788 12:0.014199655765920827 7:0.014199655765920827 16:0.0021514629948364886 3:0.0021514629948364886 13:4.302925989672978E-4 19:4.302925989672978E-4 5:4.302925989672978E-4 8:4.302925989672978E-4 10:4.302925989672978E-4
AP890327-0171 3:0.4047169811320755 16:0.17075471698113207 2:0.10283018867924529 13:0.08018867924528301 17:0.06132075471698113 15:0.031132075471698113 4:0.02358490566037736 6:0.02358490566037736 7:0.02358490566037736 1:0.01981132075471698 19:0.016037735849056604 0:0.016037735849056604 8:0.016037735849056604 9:0.0047169811320754715 11:9.433962264150943E-4 12:9.433962264150943E-4 14:9.433962264150943E-4 18:9.433962264150943E-4 5:9.433962264150943E-4 10:9.433962264150943E-4
AP890327-0190 16:0.3597560975609756 2:0.2865853658536585 9:0.10254988913525499 10:0.05598669623059867 17:0.03824833702882483 4:0.03159645232815964 15:0.024944567627494457 11:0.020509977827051 5:0.020509977827051 1:0.018292682926829267 3:0.018292682926829267 19:0.01164079822616408 14:0.004988913525498891 8:0.002771618625277162 12:5.543237250554324E-4 13:5.543237250554324E-4 18:5.543237250554324E-4 0:5.543237250554324E-4 6:5.543237250554324E-4 7:5.543237250554324E-4
AP890328-0087 8:0.5145348837209303 2:0.24709302325581395 5:0.08430232558139535 1:0.04941860465116279 9:0.02616279069767442 13:0.014534883720930232 19:0.014534883720930232 0:0.014534883720930232 11:0.0029069767441860465 12:0.0029069767441860465 14:0.0029069767441860465 15:0.0029069767441860465 16:0.0029069767441860465 17:0.0029069767441860465 18:0.0029069767441860465 3:0.0029069767441860465 4:0.0029069767441860465 6:0.0029069767441860465 7:0.0029069767441860465 10:0.0029069767441860465
AP890328-0121 15:0.3597328244274809 2:0.19942748091603055 17:0.10782442748091603 14:0.10400763358778627 18:0.09255725190839695 4:0.03148854961832061 16:0.02767175572519084 9:0.020038167938931296 10:0.020038167938931296 3:0.016221374045801526 12:0.012404580152671756 11:9.541984732824427E-4 13:9.541984732824427E-4 19:9.541984732824427E-4 0:9.541984732824427E-4 1:9.541984732824427E-4 5:9.541984732824427E-4 6:9.541984732824427E-4 7:9.541984732824427E-4 8:9.541984732824427E-4
AP890329-0026 8:0.22763578274760382 2:0.20207667731629392 0:0.1733226837060703 9:0.11581469648562301 6:0.08386581469648563 13:0.051916932907348244 11:0.04552715654952077 1:0.03274760383386582 5:0.029552715654952075 19:0.010383386581469648 18:0.00718849840255591 4:0.00718849840255591 15:0.003993610223642172 3:0.003993610223642172 12:7.987220447284345E-4 14:7.987220447284345E-4 16:7.987220447284345E-4 17:7.987220447284345E-4 7:7.987220447284345E-4 10:7.987220447284345E-4
AP890329-0106 15:0.7065217391304348 17:0.06304347826086956 9:0.04565217391304348 18:0.03695652173913044 8:0.03695652173913044 11:0.01956521739130435 12:0.01956521739130435 14:0.010869565217391304 16:0.010869565217391304 0:0.010869565217391304 3:0.010869565217391304 4:0.010869565217391304 13:0.002173913043478261 19:0.002173913043478261 1:0.002173913043478261 2:0.002173913043478261 5:0.002173913043478261 6:0.002173913043478261 7:0.002173913043478261 10:0.002173913043478261
AP890329-0230 8:0.4553872053872054 2:0.18265993265993266 16:0.09511784511784512 19:0.06818181818181818 13:0.041245791245791245 14:0.034511784511784514 12:0.027777777777777776 9:0.027777777777777776 18:0.017676767676767676 10:0.01430976430976431 3:0.010942760942760943 7:0.010942760942760943 17:0.007575757575757576 11:8.417508417508417E-4 15:8.417508417508417E-4 0:8.417508417508417E-4 1:8.417508417508417E-4 4:8.417508417508417E-4 5:8.417508417508417E-4 6:8.417508417508417E-4
AP890329-0257 19:0.37727272727272726 5:0.346969696969697 2:0.16515151515151516 1:0.07424242424242425 11:0.007575757575757576 9:0.007575757575757576 12:0.0015151515151515152 13:0.0015151515151515152 14:0.0015151515151515152 15:0.0015151515151515152 16:0.0015151515151515152 17:0.0015151515151515152 18:0.0015151515151515152 0:0.0015151515151515152 3:0.0015151515151515152 4:0.0015151515151515152 6:0.0015151515151515152 7:0.0015151515151515152 8:0.0015151515151515152 10:0.0015151515151515152
AP890330-0232 19:0.5335051546391752 5:0.22079037800687284 2:0.1211340206185567 7:0.04553264604810996 4:0.0352233676975945 1:0.014604810996563574 17:0.011168384879725086 12:0.00429553264604811 8:0.00429553264604811 11:8.59106529209622E-4 13:8.59106529209622E-4 14:8.59106529209622E-4 15:8.59106529209622E-4 16:8.59106529209622E-4 18:8.59106529209622E-4 0:8.59106529209622E-4 3:8.59106529209622E-4 6:8.59106529209622E-4 9:8.59106529209622E-4 10:8.59106529209622E-4
AP890330-0246 19:0.5125418060200669 5:0.20150501672240803 2:0.12792642140468227 1:0.03762541806020067 13:0.020903010033444816 17:0.020903010033444816 4:0.017558528428093644 7:0.017558528428093644 0:0.014214046822742474 11:0.007525083612040134 15:0.007525083612040134 3:0.007525083612040134 12:8.361204013377926E-4 14:8.361204013377926E-4 16:8.361204013377926E-4 18:8.361204013377926E-4 6:8.361204013377926E-4 8:8.361204013377926E-4 9:8.361204013377926E-4 10:8.361204013377926E-4
AP890401-0091 1:0.41996699669966997 17:0.18564356435643564 2:0.13613861386138615 13:0.10973597359735973 4:0.05033003300330033 8:0.040429042904290426 18:0.03052805280528053 3:0.010726072607260726 12:0.004125412541254125 16:0.004125412541254125 11:8.250825082508251E-4 14:8.250825082508251E-4 15:8.250825082508251E-4 19:8.250825082508251E-4 0:8.250825082508251E-4 5:8.250825082508251E-4 6:8.250825082508251E-4 7:8.250825082508251E-4 9:8.250825082508251E-4 10:8.250825082508251E-4
AP890403-0043 1:0.5236111111111111 8:0.17916666666666667 17:0.14583333333333334 13:0.04583333333333333 18:0.034722222222222224 4:0.029166666666666667 11:0.02361111111111111 12:0.001388888888888889 14:0.001388888888888889 15:0.001388888888888889 16:0.001388888888888889 19:0.001388888888888889 0:0.001388888888888889 2:0.001388888888888889 3:0.001388888888888889 5:0.001388888888888889 6:0.001388888888888889 7:0.001388888888888889 9:0.001388888888888889 10:0.001388888888888889
AP890403-0129 1:0.47433035714285715 8:0.23325892857142858 17:0.09933035714285714 13:0.09486607142857142 18:0.018973214285714284 2:0.018973214285714284 5:0.018973214285714284 12:0.014508928571428572 19:0.005580357142857143 0:0.005580357142857143 9:0.005580357142857143 11:0.0011160714285714285 14:0.0011160714285714285 15:0.0011160714285714285 16:0.0011160714285714285 3:0.0011160714285714285 4:0.0011160714285714285 6:0.0011160714285714285 7:0.0011160714285714285 10:0.0011160714285714285
AP890403-0151 5:0.46238938053097345 1:0.32964601769911506 12:0.07300884955752213 2:0.03761061946902655 19:0.028761061946902654 8:0.01991150442477876 4:0.011061946902654867 9:0.011061946902654867 11:0.0022123893805309734 13:0.0022123893805309734 14:0.0022123893805309734 15:0.0022123893805309734 16:0.0022123893805309734 17:0.0022123893805309734 18:0.0022123893805309734 0:0.0022123893805309734 3:0.0022123893805309734 6:0.0022123893805309734 7:0.0022123893805309734 10:0.0022123893805309734
AP890404-0012 9:0.5654574132492114 2:0.14274447949526814 14:0.08911671924290221 6:0.07334384858044164 12:0.026025236593059938 13:0.026025236593059938 17:0.016561514195583597 5:0.016561514195583597 19:0.01025236593059937 18:0.007097791798107256 1:0.007097791798107256 11:0.003943217665615142 15:0.003943217665615142 16:0.003943217665615142 3:0.003943217665615142 0:7.886435331230284E-4 4:7.886435331230284E-4 7:7.886435331230284E-4 8:7.886435331230284E-4 10:7.886435331230284E-4
AP890404-0058 18:0.5541044776119403 4:0.14365671641791045 3:0.10634328358208955 8:0.06902985074626866 12:0.03917910447761194 16:0.016791044776119403 19:0.016791044776119403 5:0.016791044776119403 1:0.009328358208955223 7:0.009328358208955223 11:0.0018656716417910447 13:0.0018656716417910447 14:0.0018656716417910447 15:0.0018656716417910447 17:0.0018656716417910447 0:0.0018656716417910447 2:0.0018656716417910447 6:0.0018656716417910447 9:0.0018656716417910447 10:0.0018656716417910447
AP890404-0134 9:0.31211180124223603 2:0.18788819875776397 14:0.16925465838509315 17:0.13198757763975155 15:0.11335403726708075 13:0.03881987577639751 11:0.007763975155279503 19:0.007763975155279503 4:0.007763975155279503 8:0.007763975155279503 12:0.0015527950310559005 16:0.0015527950310559005 18:0.0015527950310559005 0:0.0015527950310559005 1:0.0015527950310559005 3:0.0015527950310559005 5:0.0015527950310559005 6:0.0015527950310559005 7:0.0015527950310559005 10:0.0015527950310559005
AP890404-0215 6:0.7414383561643836 9:0.10445205479452055 5:0.04965753424657534 2:0.02226027397260274 11:0.015410958904109588 18:0.015410958904109588 12:0.008561643835616438 14:0.008561643835616438 15:0.008561643835616438 1:0.008561643835616438 13:0.0017123287671232876 16:0.0017123287671232876 17:0.0017123287671232876 19:0.0017123287671232876 0:0.0017123287671232876 3:0.0017123287671232876 4:0.0017123287671232876 7:0.0017123287671232876 8:0.0017123287671232876 10:0.0017123287671232876
AP890404-0228 4:0.23299319727891157 2:0.17857142857142858 17:0.1649659863945578 1:0.11734693877551021 5:0.11734693877551021 0:0.05612244897959184 16:0.04251700680272109 14:0.022108843537414966 9:0.022108843537414966 10:0.015306122448979591 13:0.008503401360544218 3:0.008503401360544218 11:0.0017006802721088435 12:0.0017006802721088435 15:0.0017006802721088435 18:0.0017006802721088435 19:0.0017006802721088435 6:0.0017006802721088435 7:0.0017006802721088435 8:0.0017006802721088435
AP890404-0240 6:0.5987084870848709 9:0.17435424354243542 2:0.08948339483394833 5:0.048892988929889296 13:0.03044280442804428 19:0.023062730627306273 15:0.01937269372693727 10:0.004612546125461255 11:9.225092250922509E-4 12:9.225092250922509E-4 14:9.225092250922509E-4 16:9.225092250922509E-4 17:9.225092250922509E-4 18:9.225092250922509E-4 0:9.225092250922509E-4 1:9.225092250922509E-4 3:9.225092250922509E-4 4:9.225092250922509E-4 7:9.225092250922509E-4 8:9.225092250922509E-4
AP890405-0042 3:0.23979591836734693 2:0.20578231292517007 16:0.1989795918367347 4:0.15136054421768708 5:0.06972789115646258 14:0.05612244897959184 17:0.03571428571428571 7:0.015306122448979591 9:0.008503401360544218 11:0.0017006802721088435 12:0.0017006802721088435 13:0.0017006802721088435 15:0.0017006802721088435 18:0.0017006802721088435 19:0.0017006802721088435 0:0.0017006802721088435 1:0.0017006802721088435 6:0.0017006802721088435 8:0.0017006802721088435 10:0.0017006802721088435
AP890405-0173 6:0.3688340807174888 15:0.3060538116591928 18:0.09977578475336323 2:0.07286995515695067 13:0.04147982062780269 3:0.04147982062780269 17:0.023542600896860985 11:0.010089686098654708 12:0.010089686098654708 16:0.010089686098654708 10:0.005605381165919282 14:0.0011210762331838565 19:0.0011210762331838565 0:0.0011210762331838565 1:0.0011210762331838565 4:0.0011210762331838565 5:0.0011210762331838565 7:0.0011210762331838565 8:0.0011210762331838565 9:0.0011210762331838565
AP890405-0180 17:0.5408653846153846 2:0.28125 7:0.06009615384615385 14:0.03125 15:0.03125 19:0.01201923076923077 0:0.01201923076923077 11:0.002403846153846154 12:0.002403846153846154 13:0.002403846153846154 16:0.002403846153846154 18:0.002403846153846154 1:0.002403846153846154 3:0.002403846153846154 4:0.002403846153846154 5:0.002403846153846154 6:0.002403846153846154 8:0.002403846153846154 9:0.002403846153846154 10:0.002403846153846154
AP890405-0191 17:0.4938423645320197 2:0.3066502463054187 6:0.050492610837438424 3:0.03571428571428571 7:0.03078817733990148 11:0.020935960591133004 15:0.01600985221674877 4:0.01600985221674877 12:0.006157635467980296 1:0.006157635467980296 10:0.006157635467980296 13:0.0012315270935960591 14:0.0012315270935960591 16:0.0012315270935960591 18:0.0012315270935960591 19:0.0012315270935960591 0:0.0012315270935960591 5:0.0012315270935960591 8:0.0012315270935960591 9:0.0012315270935960591
AP890405-0245 19:0.21805111821086262 2:0.19249201277955272 5:0.1509584664536741 9:0.13817891373801916 8:0.07108626198083066 15:0.06789137380191693 11:0.03913738019169329 6:0.03913738019169329 4:0.026357827476038338 18:0.019968051118210862 14:0.013578274760383386 7:0.010383386581469648 1:0.00718849840255591 12:7.987220447284345E-4 13:7.987220447284345E-4 16:7.987220447284345E-4 17:7.987220447284345E-4 0:7.987220447284345E-4 3:7.987220447284345E-4 10:7.987220447284345E-4
AP890406-0071 9:0.32368995633187775 15:0.2101528384279476 13:0.10753275109170306 2:0.1009825327510917 18:0.09661572052401747 14:0.035480349344978165 5:0.035480349344978165 1:0.03111353711790393 3:0.02019650655021834 4:0.015829694323144104 16:0.01146288209606987 12:0.0049126637554585155 6:0.0027292576419213972 11:5.458515283842794E-4 17:5.458515283842794E-4 19:5.458515283842794E-4 0:5.458515283842794E-4 7:5.458515283842794E-4 8:5.458515283842794E-4 10:5.458515283842794E-4
AP890406-0184 8:0.4981203007518797 3:0.2199248120300752 2:0.09962406015037593 0:0.06203007518796992 10:0.039473684210526314 18:0.03195488721804511 16:0.009398496240601503 19:0.009398496240601503 1:0.009398496240601503 11:0.0018796992481203006 12:0.0018796992481203006 13:0.0018796992481203006 14:0.0018796992481203006 15:0.0018796992481203006 17:0.0018796992481203006 4:0.0018796992481203006 5:0.0018796992481203006 6:0.0018796992481203006 7:0.0018796992481203006 9:0.0018796992481203006
AP890407-0082 6:0.2935897435897436 9:0.2423076923076923 2:0.17564102564102563 5:0.10384615384615385 15:0.057692307692307696 11:0.03205128205128205 0:0.03205128205128205 1:0.03205128205128205 16:0.011538461538461539 17:0.00641025641025641 12:0.001282051282051282 13:0.001282051282051282 14:0.001282051282051282 18:0.001282051282051282 19:0.001282051282051282 3:0.001282051282051282 4:0.001282051282051282 7:0.001282051282051282 8:0.001282051282051282 10:0.001282051282051282
AP890409-0068 3:0.645618556701031 10:0.10438144329896908 12:0.04768041237113402 11:0.037371134020618556 14:0.03221649484536082 18:0.027061855670103094 2:0.027061855670103094 6:0.027061855670103094 16:0.01675257731958763 1:0.011597938144329897 13:0.006443298969072165 4:0.006443298969072165 15:0.001288659793814433 17:0.001288659793814433 19:0.001288659793814433 0:0.001288659793814433 5:0.001288659793814433 7:0.001288659793814433 8:0.001288659793814433 9:0.001288659793814433
AP890410-0007 17:0.3416193181818182 2:0.2450284090909091 4:0.12286931818181818 9:0.11434659090909091 14:0.040482954545454544 1:0.03480113636363636 16:0.0234375 10:0.0234375 8:0.01775568181818182 6:0.014914772727272728 18:0.009232954545454546 11:0.0035511363636363635 7:0.0035511363636363635 12:7.102272727272727E-4 13:7.102272727272727E-4 15:7.102272727272727E-4 19:7.102272727272727E-4 0:7.102272727272727E-4 3:7.102272727272727E-4 5:7.102272727272727E-4
AP890410-0023 3:0.5647435897435897 2:0.13141025641025642 10:0.09038461538461538 16:0.08269230769230769 12:0.05705128205128205 5:0.03653846153846154 4:0.008333333333333333 11:0.0057692307692307696 0:0.0057692307692307696 7:0.0057692307692307696 9:0.0057692307692307696 13:6.41025641025641E-4 14:6.41025641025641E-4 15:6.41025641025641E-4 17:6.41025641025641E-4 18:6.41025641025641E-4 19:6.41025641025641E-4 1:6.41025641025641E-4 6:6.41025641025641E-4 8:6.41025641025641E-4
AP890410-0139 17:0.28273809523809523 3:0.1875 10:0.17559523809523808 2:0.10416666666666667 4:0.09226190476190477 11:0.040674603174603176 13:0.03670634920634921 14:0.028769841269841268 5:0.016865079365079364 9:0.016865079365079364 7:0.00496031746031746 8:0.00496031746031746 12:9.92063492063492E-4 15:9.92063492063492E-4 16:9.92063492063492E-4 18:9.92063492063492E-4 19:9.92063492063492E-4 0:9.92063492063492E-4 1:9.92063492063492E-4 6:9.92063492063492E-4
AP890410-0224 7:0.5494350282485876 5:0.1652542372881356 2:0.12570621468926554 19:0.10310734463276836 8:0.018361581920903956 15:0.012711864406779662 12:0.007062146892655367 11:0.0014124293785310734 13:0.0014124293785310734 14:0.0014124293785310734 16:0.0014124293785310734 17:0.0014124293785310734 18:0.0014124293785310734 0:0.0014124293785310734 1:0.0014124293785310734 3:0.0014124293785310734 4:0.0014124293785310734 6:0.0014124293785310734 9:0.0014124293785310734 10:0.0014124293785310734
AP890410-0232 5:0.4650735294117647 19:0.13419117647058823 13:0.11948529411764706 1:0.05330882352941176 4:0.04595588235294118 7:0.04595588235294118 2:0.03125 12:0.02389705882352941 18:0.02389705882352941 6:0.016544117647058824 8:0.016544117647058824 0:0.009191176470588236 11:0.001838235294117647 14:0.001838235294117647 15:0.001838235294117647 16:0.001838235294117647 17:0.001838235294117647 3:0.001838235294117647 9:0.001838235294117647 10:0.001838235294117647
AP890411-0200 7:0.47550251256281406 19:0.17148241206030151 5:0.12374371859296482 2:0.11620603015075377 1:0.04585427135678392 12:0.03077889447236181 3:0.008165829145728644 8:0.008165829145728644 13:0.005653266331658292 6:0.005653266331658292 9:0.00314070351758794 11:6.28140703517588E-4 14:6.28140703517588E-4 15:6.28140703517588E-4 16:6.28140703517588E-4 17:6.28140703517588E-4 18:6.28140703517588E-4 0:6.28140703517588E-4 4:6.28140703517588E-4 10:6.28140703517588E-4
AP890412-0212 4:0.19633152173913043 2:0.12296195652173914 18:0.11209239130434782 9:0.10122282608695653 17:0.09578804347826086 0:0.09578804347826086 15:0.09307065217391304 14:0.036005434782608696 3:0.03328804347826087 13:0.030570652173913044 11:0.025135869565217392 7:0.016983695652173912 1:0.014266304347826086 19:0.008831521739130434 12:0.006114130434782609 16:0.006114130434782609 6:0.0033967391304347825 5:6.793478260869565E-4 8:6.793478260869565E-4 10:6.793478260869565E-4
AP890412-0248 19:0.725 2:0.089 1:0.053 7:0.049 5:0.037 12:0.025 0:0.009 11:0.001 13:0.001 14:0.001 15:0.001 16:0.001 17:0.001 18:0.001 3:0.001 4:0.001 6:0.001 8:0.001 9:0.001 10:0.001
AP890412-0288 19:0.7371060171919771 5:0.058022922636103154 7:0.04656160458452722 2:0.04369627507163324 1:0.04083094555873926 16:0.01790830945558739 3:0.01504297994269341 4:0.01504297994269341 15:0.009312320916905445 13:0.0064469914040114614 8:0.0035816618911174787 11:7.163323782234957E-4 12:7.163323782234957E-4 14:7.163323782234957E-4 17:7.163323782234957E-4 18:7.163323782234957E-4 0:7.163323782234957E-4 6:7.163323782234957E-4 9:7.163323782234957E-4 10:7.163323782234957E-4
AP890413-0005 10:0.42905405405405406 2:0.20382882882882883 0:0.13175675675675674 6:0.05067567567567568 13:0.037162162162162164 7:0.028153153153153154 14:0.02364864864864865 1:0.019144144144144143 11:0.01463963963963964 18:0.01463963963963964 9:0.01463963963963964 3:0.010135135135135136 4:0.010135135135135136 12:0.00563063063063063 15:0.0011261261261261261 16:0.0011261261261261261 17:0.0011261261261261261 19:0.0011261261261261261 5:0.0011261261261261261 8:0.0011261261261261261
AP890413-0027 9:0.4551792828685259 19:0.18426294820717132 2:0.12450199203187251 18:0.10458167330677291 6:0.03286852589641434 8:0.02888446215139442 15:0.0249003984063745 16:0.01693227091633466 14:0.008964143426294821 0:0.0049800796812749 7:0.0049800796812749 11:9.9601593625498E-4 12:9.9601593625498E-4 13:9.9601593625498E-4 17:9.9601593625498E-4 1:9.9601593625498E-4 3:9.9601593625498E-4 4:9.9601593625498E-4 5:9.9601593625498E-4 10:9.9601593625498E-4
AP890413-0164 3:0.43702290076335876 6:0.2767175572519084 8:0.09351145038167939 2:0.08587786259541985 10:0.04007633587786259 12:0.01717557251908397 7:0.01717557251908397 15:0.009541984732824428 11:0.0019083969465648854 13:0.0019083969465648854 14:0.0019083969465648854 16:0.0019083969465648854 17:0.0019083969465648854 18:0.0019083969465648854 19:0.0019083969465648854 0:0.0019083969465648854 1:0.0019083969465648854 4:0.0019083969465648854 5:0.0019083969465648854 9:0.0019083969465648854
AP890413-0233 0:0.2242014742014742 2:0.19226044226044225 10:0.14312039312039312 11:0.09152334152334152 5:0.07923832923832924 3:0.05466830466830467 4:0.04238329238329238 6:0.03501228501228501 13:0.032555282555282554 17:0.030098280098280097 18:0.02764127764127764 8:0.015356265356265357 1:0.010442260442260442 15:0.007985257985257985 7:0.007985257985257985 12:0.003071253071253071 14:6.142506142506142E-4 16:6.142506142506142E-4 19:6.142506142506142E-4 9:6.142506142506142E-4
AP890413-0275 8:0.32365319865319864 2:0.2529461279461279 6:0.09638047138047139 5:0.0946969696969697 1:0.09301346801346802 11:0.059343434343434344 13:0.032407407407407406 19:0.013888888888888888 3:0.007154882154882155 7:0.005471380471380472 12:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 9:0.003787878787878788 0:0.0021043771043771043 4:0.0021043771043771043 14:4.2087542087542086E-4 17:4.2087542087542086E-4 18:4.2087542087542086E-4 10:4.2087542087542086E-4
AP890413-0276 8:0.4014423076923077 2:0.18990384615384615 1:0.12900641025641027 6:0.10016025641025642 5:0.07131410256410256 9:0.029647435897435896 19:0.020032051282051284 0:0.013621794871794872 11:0.010416666666666666 12:0.007211538461538462 3:0.007211538461538462 13:0.004006410256410256 16:0.004006410256410256 18:0.004006410256410256 10:0.004006410256410256 14:8.012820512820513E-4 15:8.012820512820513E-4 17:8.012820512820513E-4 4:8.012820512820513E-4 7:8.012820512820513E-4
AP890414-0016 10:0.36884057971014494 13:0.14855072463768115 2:0.1427536231884058 9:0.0644927536231884 8:0.05 4:0.04710144927536232 5:0.03260869565217391 0:0.02391304347826087 6:0.021014492753623187 17:0.018115942028985508 1:0.018115942028985508 7:0.015217391304347827 12:0.012318840579710146 16:0.012318840579710146 19:0.012318840579710146 11:0.006521739130434782 14:0.0036231884057971015 15:7.246376811594203E-4 18:7.246376811594203E-4 3:7.246376811594203E-4
AP890414-0128 18:0.6183510638297872 2:0.17154255319148937 4:0.12367021276595745 11:0.05452127659574468 12:0.006648936170212766 13:0.006648936170212766 14:0.0013297872340425532 15:0.0013297872340425532 16:0.0013297872340425532 17:0.0013297872340425532 19:0.0013297872340425532 0:0.0013297872340425532 1:0.0013297872340425532 3:0.0013297872340425532 5:0.0013297872340425532 6:0.0013297872340425532 7:0.0013297872340425532 8:0.0013297872340425532 9:0.0013297872340425532 10:0.0013297872340425532
